iter	RMSE
0	22259.4174
1	21496.39877
2	20829.1394
3	20121.48034
4	19510.32667
5	19029.91403
6	18520.41513
7	18130.15289
8	17724.84037
9	17351.30497
10	17051.47647
11	16735.81762
12	16456.12858
13	16238.53609
14	16020.91698
15	15801.58888
16	15602.90154
17	15407.71707
18	15242.89195
19	15032.98462
20	14853.81288
21	14700.50103
22	14576.2337
23	14425.71567
24	14277.15237
25	14123.58882
26	14024.02047
27	13882.44836
28	13751.52002
29	13651.15559
30	13558.31953
31	13433.16523
32	13332.78389
33	13252.63372
34	13147.85046
35	13047.34082
36	12978.62632
37	12890.7497
38	12813.63287
39	12738.95211
40	12675.35545
41	12612.00421
42	12551.19993
43	12478.56422
44	12418.27281
45	12350.80102
46	12294.27318
47	12252.93483
48	12205.64595
49	12161.31855
50	12104.21789
51	12050.40481
52	11993.89323
53	11961.92628
54	11921.5462
55	11891.03369
56	11855.69596
57	11814.32845
58	11777.5407
59	11733.01432
60	11690.92984
61	11663.27411
62	11626.62175
63	11594.02386
64	11562.05085
65	11537.6494
66	11501.42734
67	11471.16876
68	11445.76855
69	11397.65461
70	11373.47422
71	11349.21321
72	11324.12056
73	11290.57545
74	11266.7358
75	11235.82146
76	11197.40474
77	11167.66211
78	11147.92192
79	11125.9588
80	11106.87043
81	11081.22063
82	11063.45146
83	11033.55153
84	11011.48336
85	10995.2727
86	10962.64041
87	10934.19142
88	10909.77565
89	10887.71134
90	10862.00209
91	10845.20606
92	10819.86234
93	10798.68648
94	10783.0898
95	10761.4237
96	10740.70314
97	10723.0916
98	10703.20288
99	10682.83438
100	10663.93128
101	10648.56274
102	10626.16727
103	10603.57195
104	10588.47694
105	10570.96071
106	10551.59714
107	10528.83615
108	10503.22738
109	10491.50292
110	10475.47962
111	10458.48758
112	10443.59727
113	10424.51181
114	10406.3489
115	10391.80198
116	10379.67547
117	10364.1555
118	10344.50143
119	10331.49928
120	10314.66869
121	10298.89246
122	10288.20952
123	10273.00356
124	10262.88208
125	10252.09387
126	10236.77967
127	10225.22389
128	10214.73171
129	10205.17819
130	10188.52838
131	10177.60768
132	10163.70418
133	10148.53325
134	10134.78541
135	10121.78622
136	10109.70527
137	10096.77444
138	10083.74094
139	10064.95006
140	10050.683
141	10036.63659
142	10017.48046
143	10002.4819
144	9987.454451
145	9975.856484
146	9965.343118
147	9952.643832
148	9944.996719
149	9933.855618
150	9922.925631
151	9912.1344
152	9904.304656
153	9895.796472
154	9883.458998
155	9873.310462
156	9860.959885
157	9846.96967
158	9839.444857
159	9826.311374
160	9818.851378
161	9806.621351
162	9793.561461
163	9782.038802
164	9774.206224
165	9762.893213
166	9754.258644
167	9747.362598
168	9737.593212
169	9721.954231
170	9714.042255
171	9703.661551
172	9693.594317
173	9687.910535
174	9678.670937
175	9670.49103
176	9661.686662
177	9655.519662
178	9648.459122
179	9641.803192
180	9634.075937
181	9621.693346
182	9613.489626
183	9606.388497
184	9598.770818
185	9592.121466
186	9585.312436
187	9578.684246
188	9563.359717
189	9553.153497
190	9545.471596
191	9539.93749
192	9533.204903
193	9527.023186
194	9520.055504
195	9513.550994
196	9508.685501
197	9502.994508
198	9497.534633
199	9491.086077
200	9483.046231
201	9476.492636
202	9469.392522
203	9460.881733
204	9446.764769
205	9440.021356
206	9433.369638
207	9427.01824
208	9420.63469
209	9411.915142
210	9402.009339
211	9392.676953
212	9380.56257
213	9372.32716
214	9364.384777
215	9358.273902
216	9353.021125
217	9347.918513
218	9341.663595
219	9337.601525
220	9330.271816
221	9321.849791
222	9316.356937
223	9309.857483
224	9301.739754
225	9297.654776
226	9290.21196
227	9284.654324
228	9279.568423
229	9274.322665
230	9269.604334
231	9261.869225
232	9253.581723
233	9247.178735
234	9237.912717
235	9234.332842
236	9228.816808
237	9223.455412
238	9217.282345
239	9210.333676
240	9204.246125
241	9198.695015
242	9192.645822
243	9189.022967
244	9182.823986
245	9178.636258
246	9174.299376
247	9170.43608
248	9163.479153
249	9156.82633
250	9153.552464
251	9149.50037
252	9144.020688
253	9141.196694
254	9137.429702
255	9132.268302
256	9128.519429
257	9121.180483
258	9115.533727
259	9110.777783
260	9106.053768
261	9102.537874
262	9098.661329
263	9091.705373
264	9087.583764
265	9083.192685
266	9076.998873
267	9073.711138
268	9070.739207
269	9067.489367
270	9064.458401
271	9061.811024
272	9056.972165
273	9052.656052
274	9048.79698
275	9046.426821
276	9040.596603
277	9038.041566
278	9034.486081
279	9031.188497
280	9028.119546
281	9023.317998
282	9019.787695
283	9015.576843
284	9012.668907
285	9008.328746
286	9002.295576
287	8995.5565
288	8991.427552
289	8986.925408
290	8982.338034
291	8976.019431
292	8973.519625
293	8969.499034
294	8966.826927
295	8963.824283
296	8960.601828
297	8952.725563
298	8949.568668
299	8947.264515
300	8943.007204
301	8940.343283
302	8937.409447
303	8934.755232
304	8931.254879
305	8927.68912
306	8922.308146
307	8919.900105
308	8916.655602
309	8912.440687
310	8907.108978
311	8904.201287
312	8900.492424
313	8894.629394
314	8890.76984
315	8888.687223
316	8881.599717
317	8876.882541
318	8872.244952
319	8867.356613
320	8865.369283
321	8860.347631
322	8857.742514
323	8850.597214
324	8847.035802
325	8844.567528
326	8841.727873
327	8837.299449
328	8833.546677
329	8829.622536
330	8825.307995
331	8822.259585
332	8816.680264
333	8814.504717
334	8810.154414
335	8804.871865
336	8802.006415
337	8798.62122
338	8796.408952
339	8793.530149
340	8791.452435
341	8789.206082
342	8787.191439
343	8784.313472
344	8782.581707
345	8780.750736
346	8778.797827
347	8775.067812
348	8772.633352
349	8769.409695
350	8765.024449
351	8760.659243
352	8758.583884
353	8755.912217
354	8753.605465
355	8751.331494
356	8748.997881
357	8744.732664
358	8740.932884
359	8738.34838
360	8735.985609
361	8733.514557
362	8730.746459
363	8728.101204
364	8725.99966
365	8724.14468
366	8721.790199
367	8719.877989
368	8718.217941
369	8714.969782
370	8712.767866
371	8708.941497
372	8703.246716
373	8701.891054
374	8699.129931
375	8697.288209
376	8693.850549
377	8691.034737
378	8689.28097
379	8686.810282
380	8684.428613
381	8678.769955
382	8674.312037
383	8672.12812
384	8670.630356
385	8667.895427
386	8663.156228
387	8658.432042
388	8655.642379
389	8653.722404
390	8651.039401
391	8649.713743
392	8648.225808
393	8645.481833
394	8643.375389
395	8640.058414
396	8635.798235
397	8632.767768
398	8630.420742
399	8626.703639
400	8625.031549
401	8622.769343
402	8621.172134
403	8619.28575
404	8617.543426
405	8613.535135
406	8609.881075
407	8608.411835
408	8606.699782
409	8605.67534
410	8604.032631
411	8598.141301
412	8595.178849
413	8593.409461
414	8590.724382
415	8588.845609
416	8586.710477
417	8585.01284
418	8583.286746
419	8581.206981
420	8578.862632
421	8577.404865
422	8575.960181
423	8572.557351
424	8571.275383
425	8569.249532
426	8566.517334
427	8565.671995
428	8564.228299
429	8563.134488
430	8561.72647
431	8560.530932
432	8556.94975
433	8555.563483
434	8551.447405
435	8549.547618
436	8546.578231
437	8545.40436
438	8542.75178
439	8541.064742
440	8539.835072
441	8537.752162
442	8535.346265
443	8531.888522
444	8528.964624
445	8525.425813
446	8523.80639
447	8521.745899
448	8517.933647
449	8514.094819
450	8512.320019
451	8508.195464
452	8505.917618
453	8503.152122
454	8500.938679
455	8498.82232
456	8495.799317
457	8493.999257
458	8491.783927
459	8489.776517
460	8488.213152
461	8486.574652
462	8484.080371
463	8482.012726
464	8480.95275
465	8476.9618
466	8474.491173
467	8473.462241
468	8472.196268
469	8470.781133
470	8468.992756
471	8467.558582
472	8465.158748
473	8464.11017
474	8462.502531
475	8461.335514
476	8460.282958
477	8459.486072
478	8456.801034
479	8454.314999
480	8451.486521
481	8449.424933
482	8447.036992
483	8445.716918
484	8444.505959
485	8443.322913
486	8441.060671
487	8439.723607
488	8438.363748
489	8435.361247
490	8433.59398
491	8430.676175
492	8428.299502
493	8427.133275
494	8424.823962
495	8422.558762
496	8420.418932
497	8418.681223
498	8416.975859
499	8415.818126
500	8413.891742
501	8411.488678
502	8410.193236
503	8408.854789
504	8406.365657
505	8404.194746
506	8401.872828
507	8398.343997
508	8397.424241
509	8395.415958
510	8394.478478
511	8393.627668
512	8392.651641
513	8390.863771
514	8388.944528
515	8386.252558
516	8383.61958
517	8382.580756
518	8380.207118
519	8379.35107
520	8377.763054
521	8376.87693
522	8375.759917
523	8375.116283
524	8372.911982
525	8370.716207
526	8368.636493
527	8367.336187
528	8365.954439
529	8364.231742
530	8363.332032
531	8361.426981
532	8358.953109
533	8357.952766
534	8356.779003
535	8355.936517
536	8354.63753
537	8353.137336
538	8352.150493
539	8350.76471
540	8347.493798
541	8344.17872
542	8343.037787
543	8341.826898
544	8339.913634
545	8337.822428
546	8336.524427
547	8335.562543
548	8334.625189
549	8332.301417
550	8331.288979
551	8330.607344
552	8329.824742
553	8328.290587
554	8327.133747
555	8325.952333
556	8325.016949
557	8324.027789
558	8321.53135
559	8320.17355
560	8319.370624
561	8317.915488
562	8315.882148
563	8313.705692
564	8312.670358
565	8311.627507
566	8310.350639
567	8309.450701
568	8308.407191
569	8306.922607
570	8304.569413
571	8302.811794
572	8301.030591
573	8297.408092
574	8296.640988
575	8295.851353
576	8294.466631
577	8292.64355
578	8290.577962
579	8289.239102
580	8288.82836
581	8287.376804
582	8286.107697
583	8285.117215
584	8283.719451
585	8282.637934
586	8281.574938
587	8279.212493
588	8276.296288
589	8274.438753
590	8272.882042
591	8269.075403
592	8267.767122
593	8266.183541
594	8263.768783
595	8262.616491
596	8261.3505
597	8259.533953
598	8258.570536
599	8257.300592
600	8255.970441
601	8254.924275
602	8254.015472
603	8253.39159
604	8251.521201
605	8249.501782
606	8247.657979
607	8247.153255
608	8246.229988
609	8245.306103
610	8243.248175
611	8242.499149
612	8241.34748
613	8239.701775
614	8237.839843
615	8236.048188
616	8234.614327
617	8232.571214
618	8231.830734
619	8230.542258
620	8228.612125
621	8225.011276
622	8223.462975
623	8222.938227
624	8222.245034
625	8220.426799
626	8219.124685
627	8217.967679
628	8217.302668
629	8215.741832
630	8214.154923
631	8212.382336
632	8211.451807
633	8210.379595
634	8209.235284
635	8206.619558
636	8206.080832
637	8205.470336
638	8204.413859
639	8203.003635
640	8201.850034
641	8200.955746
642	8198.713917
643	8197.78287
644	8196.620267
645	8195.889715
646	8195.255207
647	8194.268471
648	8193.20228
649	8192.49675
650	8189.926867
651	8189.273024
652	8188.275224
653	8187.502032
654	8186.357627
655	8185.26014
656	8183.5496
657	8182.730421
658	8181.756408
659	8179.448485
660	8177.88612
661	8176.544863
662	8175.908337
663	8174.743142
664	8173.908574
665	8172.717705
666	8171.792505
667	8170.395827
668	8169.185785
669	8165.948189
670	8165.422856
671	8164.097187
672	8163.019014
673	8161.3915
674	8160.314268
675	8158.178841
676	8156.956603
677	8156.054018
678	8155.286599
679	8153.190108
680	8150.576139
681	8149.357957
682	8148.662143
683	8146.999534
684	8144.965899
685	8143.871154
686	8142.096009
687	8141.560815
688	8139.92901
689	8138.652521
690	8137.710699
691	8136.182217
692	8135.55997
693	8134.505345
694	8132.53836
695	8131.892661
696	8131.362003
697	8130.247978
698	8129.143698
699	8128.517004
700	8127.557856
701	8127.014931
702	8126.179892
703	8124.180659
704	8123.54837
705	8122.414244
706	8121.683012
707	8118.862526
708	8118.373789
709	8116.207501
710	8114.901449
711	8113.92373
712	8113.247059
713	8112.670292
714	8112.037627
715	8111.219841
716	8110.429644
717	8109.618745
718	8108.360463
719	8107.764284
720	8106.908457
721	8106.02877
722	8105.34282
723	8103.524222
724	8102.13825
725	8101.408063
726	8100.043687
727	8099.418401
728	8098.693721
729	8097.999044
730	8097.516631
731	8096.535243
732	8095.811089
733	8094.721205
734	8094.002121
735	8093.169692
736	8092.488147
737	8091.460094
738	8090.438716
739	8089.476623
740	8088.505777
741	8087.68116
742	8087.011981
743	8086.366312
744	8085.797578
745	8085.100221
746	8084.354877
747	8083.456496
748	8080.725642
749	8079.382407
750	8078.878178
751	8078.468534
752	8077.206186
753	8076.605872
754	8076.082331
755	8074.804402
756	8073.156481
757	8072.425771
758	8071.808314
759	8070.631238
760	8069.602762
761	8069.050952
762	8067.393458
763	8065.994191
764	8063.919646
765	8063.435982
766	8062.951763
767	8062.602236
768	8060.512897
769	8060.1785
770	8057.757976
771	8056.042966
772	8054.173804
773	8053.063824
774	8050.545692
775	8049.622231
776	8048.893857
777	8046.35521
778	8045.059399
779	8044.594078
780	8043.097128
781	8042.257851
782	8041.717329
783	8040.298056
784	8038.769226
785	8037.740098
786	8036.501651
787	8035.978132
788	8035.688034
789	8035.138111
790	8034.460339
791	8032.943841
792	8032.414555
793	8031.988833
794	8030.346101
795	8029.824817
796	8027.990958
797	8026.514389
798	8025.657813
799	8024.322247
800	8023.470186
801	8022.667916
802	8020.820806
803	8020.247951
804	8018.429594
805	8017.948203
806	8016.848526
807	8015.072457
808	8014.03236
809	8013.165202
810	8012.331245
811	8011.695943
812	8010.439725
813	8008.935862
814	8007.383329
815	8007.007577
816	8005.792145
817	8004.231595
818	8003.620517
819	8000.721097
820	8000.013149
821	7999.516356
822	7998.718566
823	7997.736174
824	7996.668403
825	7996.192057
826	7995.352623
827	7994.847596
828	7993.744742
829	7992.964653
830	7992.392716
831	7991.766956
832	7991.055565
833	7990.392603
834	7989.46007
835	7988.902989
836	7987.819459
837	7987.010162
838	7986.335994
839	7985.877325
840	7984.332506
841	7983.744039
842	7982.343105
843	7981.707538
844	7981.099246
845	7980.722521
846	7978.874192
847	7977.150982
848	7976.870689
849	7976.211857
850	7975.66155
851	7974.914738
852	7973.995796
853	7973.264496
854	7972.67946
855	7972.070479
856	7971.233552
857	7970.917722
858	7970.183218
859	7968.48523
860	7966.382104
861	7965.794703
862	7965.131765
863	7964.0232
864	7962.774351
865	7961.586474
866	7959.945704
867	7959.198216
868	7958.560268
869	7958.059026
870	7957.096361
871	7956.786889
872	7955.497248
873	7955.025623
874	7954.683065
875	7954.21086
876	7953.742353
877	7953.151356
878	7951.457187
879	7949.432924
880	7948.951083
881	7948.314711
882	7946.557163
883	7945.258667
884	7944.86905
885	7944.045515
886	7942.799124
887	7942.227573
888	7942.050022
889	7941.258723
890	7940.899573
891	7939.486012
892	7938.687523
893	7936.844344
894	7935.917792
895	7935.186451
896	7933.144425
897	7932.670403
898	7932.329015
899	7931.689707
900	7930.046757
901	7928.732205
902	7927.137253
903	7925.429509
904	7923.862484
905	7923.200848
906	7921.717042
907	7920.091271
908	7918.940573
909	7917.573902
910	7917.052681
911	7916.340995
912	7915.534554
913	7914.366071
914	7913.900021
