iter	Passed	Remaining
0	75	75600
1	150	75200
2	239	79475
3	255	63646
4	275	54823
5	292	48450
6	313	44420
7	330	40997
8	348	38330
9	366	36305
10	383	34471
11	399	32858
12	419	31838
13	435	30637
14	447	29384
15	462	28433
16	476	27542
17	490	26771
18	504	26071
19	520	25488
20	535	24965
21	547	24347
22	563	23919
23	575	23386
24	589	23006
25	603	22613
26	616	22205
27	630	21904
28	644	21582
29	661	21373
30	672	21029
31	686	20758
32	699	20485
33	713	20270
34	728	20083
35	738	19777
36	751	19549
37	763	19340
38	779	19198
39	792	19019
40	805	18829
41	818	18659
42	832	18524
43	846	18402
44	861	18288
45	872	18090
46	889	18031
47	906	17970
48	916	17795
49	934	17746
50	947	17635
51	961	17536
52	977	17461
53	987	17295
54	1002	17224
55	1011	17050
56	1022	16923
57	1035	16809
58	1046	16687
59	1057	16562
60	1072	16506
61	1085	16417
62	1096	16303
63	1111	16255
64	1126	16209
65	1139	16125
66	1157	16120
67	1172	16072
68	1189	16046
69	1211	16090
70	1226	16047
71	1240	15993
72	1254	15929
73	1271	15911
74	1287	15880
75	1301	15818
76	1314	15759
77	1329	15710
78	1343	15664
79	1359	15631
80	1373	15580
81	1388	15541
82	1399	15463
83	1412	15403
84	1425	15342
85	1439	15294
86	1452	15241
87	1466	15195
88	1477	15123
89	1488	15047
90	1501	14993
91	1514	14948
92	1527	14893
93	1539	14834
94	1552	14788
95	1562	14718
96	1575	14666
97	1591	14645
98	1602	14583
99	1617	14558
100	1629	14503
101	1645	14484
102	1665	14504
103	1681	14482
104	1695	14448
105	1707	14400
106	1719	14346
107	1730	14291
108	1742	14245
109	1755	14203
110	1766	14148
111	1778	14104
112	1790	14052
113	1801	14004
114	1813	13959
115	1826	13920
116	1839	13881
117	1851	13838
118	1863	13798
119	1877	13765
120	1890	13730
121	1905	13716
122	1916	13665
123	1926	13612
124	1941	13588
125	1952	13541
126	1963	13498
127	1978	13475
128	1990	13441
129	2003	13405
130	2013	13357
131	2025	13317
132	2037	13283
133	2048	13236
134	2060	13204
135	2072	13163
136	2084	13128
137	2097	13100
138	2110	13072
139	2124	13049
140	2138	13029
141	2156	13030
142	2170	13009
143	2180	12960
144	2190	12914
145	2201	12875
146	2212	12836
147	2223	12799
148	2235	12768
149	2246	12727
150	2256	12685
151	2268	12656
152	2281	12627
153	2292	12592
154	2303	12559
155	2314	12521
156	2325	12488
157	2337	12454
158	2351	12437
159	2363	12406
160	2377	12389
161	2389	12359
162	2404	12345
163	2416	12315
164	2427	12285
165	2439	12254
166	2451	12228
167	2464	12202
168	2475	12173
169	2488	12147
170	2500	12121
171	2510	12087
172	2523	12063
173	2540	12060
174	2551	12028
175	2567	12021
176	2578	11990
177	2588	11953
178	2601	11933
179	2613	11905
180	2623	11870
181	2636	11847
182	2645	11809
183	2657	11784
184	2666	11748
185	2676	11714
186	2691	11700
187	2702	11673
188	2716	11658
189	2728	11632
190	2742	11614
191	2755	11596
192	2770	11585
193	2781	11555
194	2797	11548
195	2811	11531
196	2826	11521
197	2839	11501
198	2854	11491
199	2866	11467
200	2880	11449
201	2890	11420
202	2900	11389
203	2915	11374
204	2925	11346
205	2940	11335
206	2953	11313
207	2964	11288
208	2974	11258
209	2985	11232
210	2996	11206
211	3010	11190
212	3025	11177
213	3034	11145
214	3044	11115
215	3056	11092
216	3069	11075
217	3081	11052
218	3091	11024
219	3105	11011
220	3118	10993
221	3128	10963
222	3137	10931
223	3151	10918
224	3165	10901
225	3176	10879
226	3189	10860
227	3200	10836
228	3215	10827
229	3225	10797
230	3239	10785
231	3253	10771
232	3266	10751
233	3275	10723
234	3287	10701
235	3298	10678
236	3311	10660
237	3324	10644
238	3337	10628
239	3351	10612
240	3363	10591
241	3377	10578
242	3387	10551
243	3400	10536
244	3414	10521
245	3425	10498
246	3437	10479
247	3450	10461
248	3464	10449
249	3476	10428
250	3488	10409
251	3500	10391
252	3510	10365
253	3521	10343
254	3533	10323
255	3543	10299
256	3556	10281
257	3569	10264
258	3578	10237
259	3589	10217
260	3600	10193
261	3614	10181
262	3625	10160
263	3635	10134
264	3647	10116
265	3662	10106
266	3676	10093
267	3690	10078
268	3700	10056
269	3709	10030
270	3722	10014
271	3732	9989
272	3748	9982
273	3760	9963
274	3770	9941
275	3782	9921
276	3793	9901
277	3806	9884
278	3819	9869
279	3831	9851
280	3841	9829
281	3854	9813
282	3863	9788
283	3876	9772
284	3885	9747
285	3896	9727
286	3907	9708
287	3918	9687
288	3929	9667
289	3944	9657
290	3957	9643
291	3970	9627
292	3981	9608
293	3992	9587
294	4006	9573
295	4016	9552
296	4025	9527
297	4040	9517
298	4056	9510
299	4068	9492
300	4081	9477
301	4091	9457
302	4102	9436
303	4112	9416
304	4122	9393
305	4133	9374
306	4142	9351
307	4155	9335
308	4168	9321
309	4177	9298
310	4191	9286
311	4202	9267
312	4213	9248
313	4228	9238
314	4239	9219
315	4249	9197
316	4260	9178
317	4270	9157
318	4280	9137
319	4295	9127
320	4307	9111
321	4318	9093
322	4331	9079
323	4342	9059
324	4353	9041
325	4364	9024
326	4377	9009
327	4387	8989
328	4405	8984
329	4415	8964
330	4424	8941
331	4432	8918
332	4442	8898
333	4455	8883
334	4464	8862
335	4476	8847
336	4489	8833
337	4499	8813
338	4511	8796
339	4527	8789
340	4542	8778
341	4555	8765
342	4568	8750
343	4582	8738
344	4593	8720
345	4605	8705
346	4618	8690
347	4631	8678
348	4642	8659
349	4651	8638
350	4664	8623
351	4672	8602
352	4682	8582
353	4691	8562
354	4704	8548
355	4714	8528
356	4724	8508
357	4734	8489
358	4745	8473
359	4760	8463
360	4770	8443
361	4782	8429
362	4792	8410
363	4802	8390
364	4817	8380
365	4827	8362
366	4837	8343
367	4849	8328
368	4860	8311
369	4872	8295
370	4882	8277
371	4893	8261
372	4903	8242
373	4920	8235
374	4930	8216
375	4941	8200
376	4953	8186
377	4963	8167
378	4974	8150
379	4983	8131
380	4992	8111
