iter	Passed	Remaining
0	19	19176
1	34	17299
2	46	15435
3	58	14595
4	69	13922
5	82	13644
6	93	13321
7	106	13153
8	117	12935
9	129	12865
10	137	12366
11	148	12224
12	160	12203
13	173	12217
14	184	12132
15	197	12124
16	209	12099
17	221	12105
18	233	12048
19	250	12293
20	266	12434
21	283	12584
22	299	12720
23	312	12691
24	324	12651
25	334	12546
26	346	12471
27	358	12431
28	370	12407
29	382	12356
30	394	12331
31	408	12344
32	420	12330
33	432	12298
34	444	12265
35	456	12220
36	468	12202
37	480	12155
38	491	12119
39	504	12108
40	516	12074
41	528	12050
42	540	12027
43	551	11989
44	563	11964
45	576	11962
46	589	11946
47	601	11935
48	613	11909
49	625	11892
50	638	11874
51	651	11871
52	661	11818
53	673	11797
54	685	11784
55	697	11756
56	710	11751
57	722	11735
58	735	11727
59	747	11707
60	761	11720
61	774	11712
62	786	11695
63	798	11684
64	810	11661
65	822	11645
66	835	11632
67	847	11614
68	859	11599
69	871	11584
70	887	11616
71	906	11684
72	922	11708
73	934	11698
74	948	11700
75	964	11726
76	977	11711
77	992	11736
78	1007	11748
79	1023	11767
80	1036	11758
81	1051	11766
82	1058	11694
83	1072	11698
84	1085	11689
85	1099	11681
86	1112	11672
87	1124	11657
88	1137	11644
89	1150	11634
90	1163	11626
91	1176	11606
92	1189	11600
93	1202	11594
94	1217	11601
95	1234	11624
96	1248	11624
97	1264	11640
98	1280	11654
99	1296	11670
100	1340	11931
101	1365	12025
102	1382	12037
103	1398	12046
104	1413	12052
105	1429	12056
106	1445	12066
107	1457	12038
108	1470	12020
109	1483	12003
110	1499	12008
111	1513	11997
112	1527	11988
113	1539	11967
114	1553	11952
115	1568	11953
116	1581	11938
117	1595	11922
118	1607	11899
119	1618	11868
120	1630	11842
121	1642	11822
122	1655	11803
123	1669	11791
124	1681	11770
125	1693	11745
126	1704	11718
127	1716	11696
128	1728	11671
129	1740	11646
130	1751	11620
131	1763	11596
132	1775	11571
133	1786	11544
134	1798	11525
135	1810	11502
136	1822	11480
137	1833	11454
138	1845	11434
139	1857	11412
140	1869	11387
141	1881	11366
142	1896	11367
143	1908	11345
144	1920	11325
145	1932	11302
146	1943	11277
147	1955	11259
148	1967	11236
149	1980	11220
150	1992	11200
151	2004	11181
152	2015	11159
153	2028	11141
154	2040	11122
155	2051	11096
156	2063	11077
157	2074	11057
158	2087	11039
159	2098	11014
160	2110	10995
161	2122	10979
162	2140	10990
163	2153	10979
164	2165	10960
165	2177	10940
166	2189	10922
167	2201	10900
168	2212	10880
169	2226	10868
170	2238	10852
171	2250	10833
172	2262	10813
173	2274	10797
174	2286	10780
175	2298	10760
176	2314	10760
177	2328	10750
178	2340	10734
179	2353	10720
180	2364	10700
181	2376	10682
182	2389	10668
183	2403	10657
184	2414	10635
185	2426	10619
186	2443	10622
187	2457	10613
188	2471	10603
189	2483	10588
190	2495	10567
191	2506	10549
192	2519	10533
193	2532	10519
194	2543	10501
195	2555	10484
196	2568	10468
197	2578	10444
198	2590	10427
199	2602	10409
200	2614	10394
201	2625	10373
202	2638	10357
203	2650	10341
204	2661	10321
205	2673	10306
206	2685	10289
207	2698	10275
208	2709	10255
209	2721	10237
210	2733	10220
211	2745	10203
212	2756	10185
213	2769	10170
214	2781	10155
215	2792	10134
216	2804	10118
217	2816	10103
218	2829	10091
219	2840	10072
220	2853	10057
221	2865	10040
222	2876	10021
223	2894	10026
224	2910	10025
225	2923	10011
226	2936	9998
227	2948	9983
228	2961	9970
229	2972	9950
230	2983	9932
231	2996	9920
232	3007	9901
233	3020	9886
234	3032	9870
235	3044	9855
236	3055	9838
237	3069	9826
238	3081	9811
239	3093	9796
240	3104	9778
241	3117	9764
242	3129	9750
243	3142	9735
244	3153	9719
245	3166	9704
246	3178	9691
247	3191	9678
248	3203	9661
249	3215	9647
250	3227	9632
251	3239	9615
252	3251	9599
253	3263	9584
254	3276	9571
255	3286	9551
256	3298	9536
257	3313	9529
258	3327	9521
259	3341	9510
260	3353	9495
261	3365	9480
262	3377	9466
263	3391	9453
264	3402	9436
265	3414	9422
266	3426	9407
267	3439	9394
268	3451	9378
269	3462	9362
270	3475	9348
271	3487	9334
272	3498	9317
273	3510	9301
274	3522	9287
275	3534	9272
276	3547	9258
277	3558	9242
278	3571	9228
279	3582	9211
280	3594	9197
281	3605	9180
282	3617	9164
283	3628	9147
284	3640	9133
285	3651	9116
286	3663	9100
287	3674	9084
288	3686	9068
289	3697	9052
290	3708	9035
291	3719	9018
292	3730	9002
293	3741	8985
294	3753	8970
295	3764	8953
296	3775	8937
297	3787	8921
298	3798	8906
299	3810	8890
300	3821	8874
301	3832	8858
302	3844	8842
303	3855	8827
304	3867	8812
305	3878	8796
306	3889	8780
307	3908	8781
308	3920	8767
309	3931	8751
310	3943	8737
311	3956	8723
312	3968	8709
313	3978	8692
314	3991	8679
315	4003	8666
316	4015	8652
317	4026	8636
318	4039	8623
319	4051	8609
320	4062	8593
321	4074	8580
322	4086	8565
323	4098	8551
324	4110	8538
325	4123	8524
326	4135	8511
327	4147	8498
328	4159	8482
329	4171	8468
330	4183	8455
331	4195	8440
332	4206	8426
333	4219	8412
334	4231	8399
335	4242	8384
336	4254	8370
337	4266	8356
338	4278	8341
339	4289	8326
340	4301	8312
341	4314	8301
342	4331	8296
343	4343	8282
344	4354	8267
345	4366	8254
346	4379	8242
347	4390	8226
348	4403	8213
349	4415	8200
350	4427	8185
351	4438	8171
352	4450	8157
353	4463	8144
354	4478	8137
355	4490	8123
356	4502	8110
357	4515	8097
358	4527	8084
359	4538	8068
360	4550	8055
361	4562	8041
362	4573	8026
363	4585	8012
364	4598	7999
365	4610	7986
366	4621	7971
367	4633	7957
368	4645	7943
369	4656	7928
370	4668	7915
371	4680	7901
372	4693	7889
373	4705	7875
374	4718	7863
375	4731	7851
376	4744	7839
377	4755	7825
378	4767	7811
379	4779	7797
380	4791	7783
381	4802	7769
382	4814	7755
383	4826	7742
384	4838	7728
385	4850	7715
386	4862	7701
387	4874	7688
388	4885	7674
389	4897	7660
390	4916	7657
391	4928	7644
392	4940	7631
393	4951	7616
394	4963	7602
395	4975	7589
396	4986	7574
397	4999	7561
398	5010	7546
399	5021	7532
400	5032	7518
401	5043	7503
402	5055	7489
403	5067	7476
404	5079	7462
405	5091	7449
406	5102	7434
407	5114	7420
408	5125	7406
409	5137	7393
410	5148	7378
411	5161	7365
412	5172	7352
413	5183	7337
414	5195	7323
415	5207	7310
416	5218	7296
417	5230	7282
418	5242	7269
