iter	RMSE
0	67161.31354
1	66070.72839
2	64930.67869
3	63757.76697
4	62164.38384
5	61009.68197
6	60179.96792
7	59106.48922
8	56846.29274
9	54769.49713
10	52938.28207
11	52175.56995
12	51356.82471
13	50409.94603
14	49724.52395
15	49151.19675
16	47384.33591
17	45762.77355
18	45302.99199
19	43720.81596
20	43065.49921
21	41684.00598
22	40621.93378
23	39454.74015
24	39025.30982
25	37815.30759
26	37409.53523
27	37073.26027
28	36184.788
29	35770.92166
30	35411.4738
31	35044.12627
32	34722.03268
33	34359.89463
34	34073.52262
35	33119.28421
36	32170.16359
37	31886.67402
38	31075.33135
39	30819.37105
40	30539.93636
41	29616.54802
42	29008.572
43	28372.35973
44	27736.62928
45	26966.33092
46	26782.93697
47	26571.00695
48	26384.13839
49	25855.22499
50	25445.9891
51	25275.67274
52	24643.08644
53	24235.50844
54	24071.77828
55	23702.07701
56	23507.24725
57	23362.88057
58	23202.84718
59	22848.37852
60	22518.13038
61	22073.46837
62	21512.21997
63	21150.63204
64	20883.65014
65	20465.79099
66	20211.93764
67	20078.29993
68	19974.669
69	19785.41666
70	19574.22445
71	19293.79233
72	19182.08732
73	18906.53619
74	18804.95452
75	18558.17627
76	18292.9186
77	18181.74499
78	18099.75927
79	17862.89478
80	17676.60433
81	17343.34838
82	17201.24466
83	17121.51349
84	17046.37609
85	16965.80967
86	16697.31011
87	16613.59135
88	16527.90498
89	16400.41749
90	16190.03477
91	16119.66157
92	15983.17933
93	15923.04762
94	15851.21227
95	15723.26425
96	15578.07143
97	15472.7998
98	15281.27815
99	15154.86649
100	15096.39912
101	15017.39429
102	14966.97032
103	14919.16644
104	14837.62464
105	14708.44332
106	14545.47505
107	14499.79362
108	14406.16295
109	14355.65113
110	14211.27561
111	14170.36012
112	14052.12665
113	14013.37441
114	13885.95364
115	13813.36667
116	13777.14802
117	13726.81226
118	13693.21218
119	13567.10953
120	13504.17339
121	13455.83203
122	13424.34971
123	13364.00114
124	13276.05225
125	13124.32583
126	13094.16895
127	13052.93825
128	12968.87717
129	12846.68093
130	12804.52952
131	12776.8914
132	12682.79091
133	12618.31785
134	12591.89946
135	12553.38311
136	12488.47336
137	12411.85849
138	12387.0026
139	12329.12419
140	12305.37521
141	12219.86235
142	12150.33022
143	12115.6467
144	12009.35454
145	11986.15572
146	11946.86429
147	11891.28753
148	11846.71692
149	11824.57691
150	11732.00377
151	11702.35192
152	11638.75051
153	11617.78036
154	11569.02355
155	11513.35314
156	11493.16182
157	11463.29385
158	11398.23784
159	11378.61536
160	11347.19888
161	11328.39699
162	11267.62151
163	11249.46884
164	11214.86598
165	11188.35607
166	11170.70029
167	11130.56397
168	11113.54847
169	11084.55086
170	10981.97134
171	10943.20269
172	10926.5972
173	10862.34282
174	10839.49284
175	10823.5177
176	10746.11764
177	10714.2694
178	10624.42224
179	10566.03241
180	10522.90334
181	10475.69618
182	10437.24233
183	10421.36567
184	10397.36372
185	10382.24086
186	10341.51083
187	10326.77883
188	10312.4301
189	10275.88744
190	10253.72893
191	10239.65977
192	10189.93568
193	10176.119
194	10130.17169
195	10103.20917
196	10083.84604
197	10058.51282
198	10044.8904
199	10031.85784
200	9995.159488
201	9982.129809
202	9956.838997
203	9940.563293
204	9914.572329
205	9896.065252
206	9883.628293
207	9818.881154
208	9806.579821
209	9752.868036
210	9704.584343
211	9692.546781
212	9675.786393
213	9650.217766
214	9613.603945
215	9601.853924
216	9563.834265
217	9552.266664
218	9520.072041
219	9480.667625
220	9459.795901
221	9448.404795
222	9437.248962
223	9380.294092
224	9353.466908
225	9337.825495
226	9326.774059
227	9280.186596
228	9251.881554
229	9241.037276
230	9192.537128
231	9174.198094
232	9163.524457
233	9140.852187
234	9123.084245
235	9078.505267
236	9064.270567
237	9053.792715
238	9043.484939
239	9033.381431
240	8996.8162
241	8976.459639
242	8966.412835
243	8956.755785
244	8936.688517
245	8920.613054
246	8903.186162
247	8840.954126
248	8831.183086
249	8814.564828
250	8805.307557
251	8785.119937
252	8771.417553
253	8762.105772
254	8752.893413
255	8739.737534
256	8730.638306
257	8721.938858
258	8703.386952
259	8668.066225
260	8654.847966
261	8631.171203
262	8622.131313
263	8599.313071
264	8590.40472
265	8578.141878
266	8564.845563
267	8556.414333
268	8547.828356
269	8515.400779
270	8502.246021
271	8493.808312
272	8485.835894
273	8477.668883
274	8448.879819
275	8441.036205
276	8433.059039
277	8391.046067
278	8383.133866
279	8371.768356
280	8364.177214
281	8339.80162
282	8318.641451
283	8310.798316
284	8298.360191
285	8252.76208
286	8245.422022
287	8238.022358
288	8200.553437
289	8174.515133
290	8163.558176
291	8156.300738
292	8143.230075
293	8130.804289
294	8123.422631
295	8113.339888
296	8095.716047
297	8078.7516
298	8071.929513
299	8065.035958
300	8054.800849
301	8048.012329
302	8027.990864
303	8020.96061
304	8010.163127
305	7981.7872
306	7948.32642
307	7941.250759
308	7934.267103
309	7900.630506
310	7893.764771
311	7861.986062
312	7850.378207
313	7843.554879
314	7833.902411
315	7808.872333
316	7785.583206
317	7778.894603
318	7772.379747
319	7753.394127
320	7741.068077
321	7719.246532
322	7712.86479
323	7657.675302
324	7651.159186
325	7641.739857
326	7635.536571
327	7593.449732
328	7583.727732
329	7549.606131
330	7543.491919
331	7513.619117
332	7507.661585
333	7497.787065
334	7491.922272
335	7466.43716
336	7460.387536
337	7452.095763
338	7433.74771
339	7427.722781
340	7402.363581
341	7396.622589
342	7390.788509
343	7373.753835
344	7365.480288
345	7336.994345
346	7315.177315
347	7288.340717
348	7282.53055
349	7246.800745
350	7236.362816
351	7230.58208
352	7225.004313
353	7219.505128
354	7214.292373
355	7208.974506
356	7201.636913
357	7192.123032
358	7168.248721
359	7156.994524
360	7151.519067
361	7143.396616
362	7138.239337
363	7123.624431
364	7115.03421
365	7109.94653
366	7073.851198
367	7058.461806
368	7053.331737
369	7045.701331
370	7023.641454
371	7010.817102
372	7005.666588
373	6968.708221
374	6963.864372
375	6956.458567
376	6951.351318
377	6946.445209
378	6923.791309
379	6908.928744
380	6899.104933
381	6891.946936
382	6876.698073
383	6853.545744
384	6829.644349
385	6824.502379
386	6817.407584
387	6812.399186
388	6801.419521
389	6796.752011
390	6767.27663
391	6743.529571
392	6738.541912
393	6732.11751
394	6727.575715
395	6712.860342
396	6695.210917
397	6690.709782
398	6685.954046
399	6681.487714
400	6662.475048
401	6657.796323
402	6649.074701
403	6644.464282
404	6638.013705
405	6610.081497
406	6583.885847
407	6571.663319
408	6557.931772
409	6553.268547
410	6546.592456
411	6539.706473
412	6519.176325
413	6485.097873
414	6480.391866
415	6460.325435
416	6444.69479
417	6440.51589
418	6419.407939
419	6409.192885
420	6404.980724
421	6387.694298
422	6376.888157
423	6367.803461
424	6361.458989
425	6355.166777
426	6350.89436
427	6346.398795
428	6333.388502
429	6329.068978
430	6323.124461
431	6317.491252
432	6311.470167
433	6307.090125
434	6302.620007
435	6298.220766
436	6273.358573
437	6258.512337
438	6254.303707
439	6250.162318
440	6246.138353
441	6242.074567
442	6238.215386
443	6234.407147
444	6222.998629
445	6216.07267
446	6209.181084
447	6205.124019
448	6185.174484
449	6173.500086
450	6166.070423
451	6162.043649
452	6145.29164
453	6139.727732
454	6117.977199
455	6112.640999
456	6108.839649
457	6105.103334
458	6093.249666
459	6089.494611
460	6082.736478
461	6078.837332
462	6057.664477
463	6053.759293
