iter	Passed	Remaining
0	7	7470
1	10	5086
2	13	4362
3	16	4148
4	17	3550
5	20	3381
6	22	3247
7	25	3154
8	28	3100
9	30	3044
10	33	2988
11	35	2952
12	38	2914
13	40	2879
14	43	2844
15	44	2751
16	47	2742
17	50	2746
18	53	2761
19	56	2774
20	59	2763
21	62	2771
22	64	2756
23	67	2745
24	70	2743
25	73	2741
26	78	2813
27	81	2814
28	83	2811
29	86	2812
30	90	2813
31	92	2808
32	97	2852
33	100	2868
34	103	2861
35	106	2851
36	109	2850
37	112	2846
38	116	2865
39	120	2892
40	124	2901
41	127	2912
42	131	2935
43	134	2928
44	137	2910
45	139	2895
46	142	2888
47	145	2877
48	147	2864
49	150	2862
50	153	2864
51	156	2856
52	159	2858
53	162	2845
54	164	2832
55	167	2822
56	169	2810
57	172	2799
58	174	2790
59	177	2780
60	179	2769
61	182	2762
62	186	2771
63	189	2769
64	192	2765
65	194	2757
66	197	2748
67	199	2740
68	202	2729
69	204	2720
70	207	2715
71	210	2718
72	214	2723
73	218	2728
74	220	2722
75	223	2721
76	226	2713
77	228	2706
78	231	2698
79	233	2690
80	236	2683
81	239	2680
82	242	2673
83	244	2666
84	247	2660
85	250	2659
86	253	2659
87	256	2659
88	259	2653
89	261	2646
90	264	2640
91	266	2633
92	269	2628
93	272	2622
94	274	2618
95	277	2612
96	280	2607
97	282	2601
98	285	2599
99	288	2595
100	290	2589
101	293	2582
102	295	2576
103	298	2571
104	300	2565
105	303	2561
106	306	2561
107	310	2561
108	312	2557
109	315	2553
110	318	2552
111	322	2555
112	325	2552
113	327	2546
114	330	2540
115	332	2536
116	335	2532
117	338	2527
118	340	2523
119	343	2517
120	345	2512
121	348	2506
122	350	2501
123	353	2497
124	356	2492
125	358	2487
126	361	2482
127	363	2477
128	366	2472
129	369	2471
130	372	2470
131	375	2471
132	378	2468
133	381	2464
134	384	2462
135	387	2460
136	389	2456
137	392	2452
138	395	2449
139	397	2444
140	400	2442
141	403	2439
142	407	2439
143	410	2438
144	413	2436
145	415	2433
146	418	2430
147	421	2425
148	423	2421
149	426	2417
150	429	2413
151	431	2409
152	434	2405
153	436	2397
154	439	2394
155	441	2389
156	444	2385
157	446	2380
158	449	2377
159	452	2373
160	454	2369
161	457	2365
162	460	2362
163	462	2358
164	465	2355
165	468	2351
166	470	2348
167	473	2343
168	475	2339
169	478	2336
170	481	2335
171	485	2335
172	488	2333
173	490	2329
174	493	2325
175	495	2321
176	498	2319
177	501	2315
178	503	2311
179	506	2307
180	509	2304
181	511	2300
182	514	2297
183	517	2293
184	519	2289
185	522	2286
186	525	2282
187	528	2281
188	531	2282
189	534	2278
190	537	2275
191	539	2270
192	542	2267
193	544	2263
194	547	2260
195	550	2256
196	552	2252
197	555	2248
198	557	2245
199	561	2244
200	564	2244
201	567	2242
202	570	2239
203	572	2234
204	575	2230
205	577	2227
206	580	2224
207	583	2220
208	585	2217
209	588	2214
210	591	2211
211	594	2208
212	596	2205
213	599	2201
214	602	2199
215	605	2198
216	608	2197
217	612	2197
218	615	2193
219	617	2190
220	620	2186
221	622	2182
222	625	2178
223	628	2176
224	631	2174
225	633	2170
226	636	2167
227	639	2164
228	641	2160
229	644	2158
230	647	2155
231	650	2151
232	652	2149
233	655	2146
234	658	2143
235	661	2140
236	663	2137
237	666	2134
238	669	2130
239	671	2126
240	674	2123
241	676	2120
242	679	2116
243	683	2116
244	687	2117
245	689	2114
246	692	2112
247	695	2109
248	698	2106
249	700	2102
250	703	2098
251	705	2095
252	708	2093
253	711	2089
254	714	2086
255	716	2082
256	719	2079
257	721	2075
258	724	2072
259	727	2069
260	729	2066
261	732	2063
262	735	2060
263	738	2059
264	741	2057
265	744	2055
266	747	2051
267	750	2048
268	752	2045
269	755	2042
270	758	2040
271	760	2036
272	763	2033
273	766	2030
274	768	2026
275	771	2023
276	773	2020
277	776	2016
278	779	2013
279	781	2010
280	784	2006
281	786	2003
282	789	2000
283	792	1998
284	795	1996
285	798	1993
286	801	1990
287	804	1989
288	808	1988
289	811	1985
290	813	1982
291	816	1978
292	818	1975
293	821	1972
294	823	1968
295	826	1965
296	829	1962
297	831	1958
298	834	1955
299	837	1954
300	841	1953
301	844	1950
302	846	1947
303	849	1944
304	851	1940
305	854	1938
306	857	1935
307	860	1932
308	862	1929
309	865	1926
310	867	1922
311	870	1919
312	873	1916
313	875	1913
314	878	1911
315	881	1907
316	883	1904
317	886	1901
318	888	1897
319	891	1894
320	894	1891
321	896	1888
322	899	1885
323	901	1881
324	904	1878
325	907	1875
326	910	1872
327	912	1869
328	915	1867
329	919	1866
330	921	1863
331	924	1860
332	927	1857
333	929	1853
334	932	1850
335	935	1848
336	938	1845
337	940	1842
338	943	1839
339	946	1836
340	949	1834
341	951	1831
342	954	1828
343	962	1835
344	967	1836
345	970	1834
346	973	1831
347	976	1829
348	979	1826
349	982	1825
350	985	1822
351	988	1820
352	992	1819
353	1000	1825
354	1003	1822
355	1007	1822
356	1010	1820
357	1013	1817
358	1016	1815
359	1019	1811
360	1021	1808
361	1024	1805
362	1026	1801
363	1029	1798
364	1032	1795
365	1034	1792
366	1038	1790
367	1041	1788
368	1044	1785
369	1047	1783
370	1050	1780
371	1052	1777
372	1055	1773
373	1057	1770
374	1060	1767
375	1063	1764
376	1065	1761
377	1068	1757
378	1070	1754
379	1073	1751
380	1075	1747
381	1079	1745
382	1081	1743
383	1084	1739
384	1086	1736
385	1089	1732
386	1092	1729
387	1095	1727
388	1097	1724
389	1100	1721
390	1103	1718
391	1105	1714
392	1108	1711
393	1110	1708
394	1113	1705
395	1116	1702
396	1118	1699
397	1121	1696
398	1123	1692
399	1126	1689
400	1129	1686
401	1131	1683
402	1135	1681
403	1138	1679
404	1141	1677
405	1144	1674
406	1148	1673
407	1151	1671
408	1154	1668
409	1157	1665
410	1160	1663
411	1163	1660
412	1166	1657
413	1168	1654
414	1171	1651
415	1173	1648
416	1177	1645
417	1179	1642
418	1182	1639
419	1185	1636
420	1187	1633
421	1190	1630
422	1193	1628
423	1196	1625
424	1198	1622
425	1201	1618
426	1204	1615
427	1206	1612
428	1210	1610
429	1213	1608
430	1216	1606
431	1219	1603
432	1222	1600
433	1225	1598
434	1228	1595
435	1230	1592
436	1233	1589
437	1236	1586
438	1240	1585
439	1243	1582
440	1245	1579
441	1248	1576
442	1251	1573
443	1253	1569
444	1256	1567
445	1259	1564
446	1262	1561
447	1264	1558
448	1267	1555
449	1269	1552
450	1272	1549
451	1275	1546
452	1277	1543
453	1280	1539
454	1282	1536
455	1285	1533
456	1288	1530
457	1290	1527
458	1293	1524
459	1296	1521
460	1298	1518
461	1301	1515
462	1303	1511
463	1306	1508
464	1308	1505
465	1311	1502
466	1313	1499
467	1316	1496
468	1318	1492
469	1321	1490
470	1325	1488
471	1327	1485
472	1330	1482
473	1332	1479
474	1335	1476
475	1339	1474
476	1341	1471
477	1344	1468
478	1347	1465
479	1349	1462
480	1352	1459
481	1355	1456
482	1357	1453
483	1360	1450
484	1363	1447
485	1365	1444
486	1367	1441
487	1370	1438
488	1373	1435
489	1375	1432
490	1379	1430
491	1382	1427
492	1385	1425
493	1388	1422
494	1392	1421
495	1396	1418
496	1399	1416
497	1402	1414
498	1405	1411
499	1409	1409
500	1412	1407
501	1415	1404
502	1419	1402
503	1422	1399
504	1425	1397
505	1428	1395
506	1431	1392
507	1434	1389
508	1437	1386
509	1440	1383
510	1442	1380
511	1445	1377
512	1448	1374
513	1451	1372
514	1454	1369
515	1456	1366
516	1459	1363
517	1462	1360
518	1464	1357
519	1467	1354
520	1470	1351
521	1472	1348
522	1475	1345
523	1478	1342
524	1480	1339
525	1483	1336
526	1486	1334
527	1488	1331
528	1491	1328
529	1494	1325
530	1496	1322
531	1499	1319
532	1502	1316
533	1506	1314
534	1508	1311
535	1511	1308
536	1514	1305
537	1517	1302
538	1519	1299
539	1522	1296
540	1525	1293
541	1527	1290
542	1530	1288
543	1533	1285
544	1535	1281
545	1538	1278
546	1540	1276
547	1543	1273
548	1546	1270
549	1548	1267
550	1551	1264
551	1553	1261
552	1556	1258
553	1559	1255
554	1562	1252
555	1564	1249
556	1567	1246
557	1569	1243
558	1572	1240
559	1575	1237
560	1580	1236
561	1582	1233
562	1585	1230
563	1587	1227
564	1590	1224
565	1593	1221
566	1596	1219
567	1599	1216
568	1601	1213
569	1604	1210
570	1607	1207
571	1610	1205
572	1613	1202
573	1615	1199
574	1618	1196
575	1620	1193
576	1623	1189
577	1626	1187
578	1628	1184
579	1631	1181
580	1634	1178
581	1636	1175
582	1639	1172
583	1641	1169
584	1644	1166
585	1647	1163
586	1649	1160
587	1652	1157
588	1655	1154
589	1657	1152
590	1660	1149
591	1663	1146
592	1665	1143
593	1668	1140
594	1670	1137
595	1673	1134
596	1676	1131
597	1678	1128
598	1681	1125
599	1683	1122
600	1686	1119
601	1689	1116
602	1691	1113
603	1694	1110
604	1696	1107
605	1699	1105
606	1702	1102
607	1704	1099
608	1707	1096
609	1710	1093
610	1712	1090
611	1715	1087
612	1718	1084
613	1721	1081
614	1723	1079
615	1726	1076
616	1728	1073
617	1731	1070
618	1734	1067
619	1736	1064
620	1739	1061
621	1742	1058
622	1744	1055
623	1747	1052
624	1750	1050
625	1752	1047
626	1755	1044
627	1758	1041
628	1760	1038
629	1763	1035
630	1765	1032
631	1768	1029
632	1771	1027
633	1774	1024
634	1776	1021
635	1779	1018
636	1782	1015
637	1784	1012
638	1788	1010
639	1790	1007
640	1793	1004
641	1796	1001
642	1798	998
643	1801	995
644	1804	993
645	1807	990
646	1810	987
647	1812	984
648	1815	981
649	1818	979
650	1821	976
651	1824	973
652	1826	970
653	1829	967
654	1832	965
655	1834	962
656	1837	959
657	1840	956
658	1842	953
659	1845	950
660	1848	947
661	1850	944
662	1853	942
663	1856	939
664	1858	936
665	1861	933
666	1864	930
667	1866	927
668	1869	924
669	1872	922
670	1874	919
671	1877	916
672	1880	913
673	1882	910
674	1885	907
675	1887	904
676	1890	901
677	1892	899
678	1895	896
679	1898	893
680	1901	890
681	1903	887
682	1906	884
683	1908	881
684	1911	878
685	1913	876
686	1916	873
687	1919	870
688	1921	867
689	1925	864
690	1927	861
691	1930	859
692	1932	856
693	1935	853
694	1937	850
695	1948	851
696	1954	849
697	1956	846
698	1959	843
699	1962	840
700	1964	838
701	1967	835
702	1970	832
703	1972	829
704	1975	826
705	1977	823
706	1980	820
707	1983	817
708	1985	815
709	1988	812
710	1991	809
711	1993	806
712	1996	803
713	1999	800
714	2001	797
715	2004	795
716	2007	792
717	2009	789
718	2012	786
719	2015	783
720	2018	780
721	2021	778
722	2023	775
723	2026	772
724	2029	769
725	2032	766
726	2034	764
727	2037	761
728	2039	758
729	2042	755
730	2045	752
731	2048	749
732	2051	747
733	2053	744
734	2056	741
735	2059	738
736	2061	735
737	2064	732
738	2067	730
739	2069	727
740	2072	724
741	2075	721
742	2078	718
743	2081	716
744	2083	713
745	2086	710
746	2089	707
747	2092	704
748	2095	702
749	2097	699
750	2100	696
751	2102	693
752	2105	690
753	2108	687
754	2110	684
755	2113	682
756	2115	679
757	2118	676
758	2121	673
759	2123	670
760	2126	667
761	2129	664
762	2131	662
763	2134	659
764	2136	656
765	2139	653
766	2142	650
767	2144	647
768	2147	645
769	2149	642
770	2152	639
771	2155	636
772	2157	633
773	2160	630
774	2163	628
775	2165	625
776	2168	622
777	2171	619
778	2174	616
779	2176	613
780	2179	611
781	2182	608
782	2184	605
783	2187	602
784	2190	599
785	2193	597
786	2195	594
787	2198	591
788	2201	588
789	2203	585
790	2206	583
791	2209	580
792	2212	577
793	2215	574
794	2217	571
795	2220	569
796	2223	566
797	2225	563
798	2228	560
799	2231	557
800	2233	555
801	2236	552
802	2239	549
803	2242	546
804	2244	543
805	2247	540
806	2250	538
807	2252	535
808	2255	532
809	2258	529
810	2261	527
811	2264	524
812	2266	521
813	2269	518
814	2272	515
815	2275	513
816	2277	510
817	2280	507
818	2283	504
819	2286	501
820	2288	498
821	2291	496
822	2294	493
823	2296	490
824	2299	487
825	2302	485
826	2305	482
827	2308	479
828	2310	476
829	2313	473
830	2316	471
831	2319	468
832	2323	465
833	2326	463
834	2328	460
835	2331	457
836	2334	454
837	2336	451
838	2340	449
839	2342	446
840	2345	443
841	2348	440
842	2350	437
843	2354	435
844	2357	432
845	2360	429
846	2363	426
847	2367	424
848	2370	421
849	2373	418
850	2376	416
851	2378	413
852	2381	410
853	2385	407
854	2389	405
855	2392	402
856	2395	399
857	2397	396
858	2400	394
859	2403	391
860	2406	388
861	2409	385
862	2411	382
863	2414	380
864	2417	377
865	2420	374
866	2423	371
867	2425	368
868	2428	366
