iter	RMSE
0	4941.146181
1	4933.261459
2	4928.930371
3	4924.733133
4	4920.777846
5	4918.217315
6	4915.936015
7	4828.590322
8	4826.635237
9	4821.14247
10	4819.528997
11	4818.86039
12	4814.811445
13	4810.612406
14	4728.547334
15	4684.824191
16	4680.482874
17	4676.055633
18	4596.247619
19	4538.326432
20	4533.147465
21	4460.100391
22	4457.890231
23	4455.185781
24	4387.325067
25	4386.799675
26	4316.847089
27	4315.290507
28	4249.047865
29	4242.73521
30	4234.317792
31	4172.55359
32	4115.949549
33	4113.467471
34	4097.122772
35	4086.364897
36	4078.598241
37	4076.78954
38	4019.634563
39	3968.49786
40	3919.643044
41	3873.176043
42	3869.87807
43	3825.518502
44	3820.994987
45	3816.802748
46	3811.939186
47	3808.857338
48	3766.78733
49	3763.126524
50	3757.917136
51	3744.538946
52	3728.796079
53	3688.338581
54	3679.446544
55	3666.904734
56	3662.357056
57	3658.837873
58	3648.695657
59	3634.056366
60	3595.920932
61	3591.986988
62	3579.539037
63	3577.395162
64	3570.130228
65	3562.804785
66	3557.361513
67	3551.279355
68	3541.175543
69	3536.798939
70	3500.238366
71	3497.681614
72	3462.909076
73	3462.53139
74	3456.895759
75	3453.375561
76	3420.30384
77	3417.734875
78	3386.224651
79	3373.496869
80	3364.769741
81	3360.849102
82	3352.840384
83	3325.554035
84	3318.880552
85	3307.727617
86	3304.417814
87	3302.436272
88	3271.616185
89	3244.238578
90	3241.522955
91	3239.751925
92	3238.801709
93	3232.851787
94	3231.418997
95	3230.019685
96	3226.403898
97	3226.324807
98	3225.02099
99	3223.928381
100	3221.097854
101	3193.279171
102	3191.383125
103	3166.474123
104	3144.722201
105	3142.64062
106	3139.090943
107	3131.625667
108	3108.965208
109	3098.09315
110	3092.168201
111	3091.103064
112	3069.453951
113	3067.915599
114	3047.349669
115	3044.168708
116	3024.755921
117	3014.403605
118	2994.277674
119	2985.758424
120	2984.854736
121	2968.450837
122	2965.972006
123	2965.80795
124	2960.489967
125	2957.493942
126	2941.834834
127	2940.455003
128	2937.034755
129	2933.334462
130	2930.755363
131	2930.358685
132	2929.687317
133	2914.80598
134	2913.127593
135	2905.86338
136	2903.861031
137	2903.543741
138	2902.224458
139	2899.961969
140	2897.242097
141	2896.848848
142	2891.970007
143	2876.677332
144	2876.039488
145	2862.812226
146	2861.690446
147	2860.472901
148	2847.961374
149	2846.634058
150	2834.765335
151	2831.513819
152	2830.656127
153	2821.772284
154	2810.498856
155	2802.092626
156	2801.777997
157	2790.04411
158	2779.766459
159	2768.933882
160	2757.812479
161	2757.179826
162	2745.340085
163	2742.778703
164	2733.451489
165	2730.642548
166	2719.775072
167	2717.487249
168	2707.455295
169	2705.345744
170	2698.254198
171	2689.540297
172	2684.424073
173	2676.480676
174	2667.525302
175	2666.521594
176	2665.517378
177	2642.816415
178	2633.999081
179	2633.788202
180	2624.898666
181	2623.891078
182	2622.385469
183	2620.016324
184	2617.797109
185	2617.174755
186	2610.384709
187	2606.711942
188	2605.69669
189	2604.633785
190	2598.229599
191	2597.501199
192	2592.505483
193	2586.510098
194	2585.316283
195	2579.502007
196	2574.163853
197	2573.644181
198	2572.170229
199	2568.41342
200	2567.186423
201	2565.436875
202	2564.503967
203	2562.160125
204	2560.792503
205	2559.703267
206	2558.812484
207	2553.711251
