iter	Passed	Remaining
0	220	220416
1	278	138829
2	335	111383
3	390	97297
4	445	88664
5	500	82934
6	555	78756
7	611	75783
8	665	73313
9	720	71330
10	778	69993
11	841	69289
12	900	68396
13	970	68319
14	1023	67182
15	1074	66106
16	1124	65037
17	1177	64218
18	1233	63699
19	1284	62960
20	1338	62407
21	1394	62013
22	1448	61540
23	1499	60984
24	1556	60709
25	1612	60401
26	1663	59945
27	1714	59534
28	1769	59242
29	1825	59019
30	1883	58875
31	1941	58722
32	1992	58383
33	2047	58180
34	2101	57953
35	2155	57721
36	2215	57671
37	2270	57470
38	2325	57306
39	2379	57114
40	2436	56994
41	2494	56908
42	2548	56710
43	2602	56539
44	2651	56262
45	2705	56102
46	2758	55923
47	2815	55848
48	2872	55744
49	2922	55528
50	2975	55366
51	3029	55221
52	3079	55031
53	3136	54942
54	3199	54977
55	3270	55132
56	3334	55168
57	3387	55014
58	3442	54903
59	3492	54721
60	3546	54585
61	3602	54506
62	3657	54391
63	3707	54215
64	3761	54114
65	3820	54058
66	3870	53894
67	3925	53798
68	3979	53689
69	4034	53601
70	4092	53545
71	4145	53426
72	4207	53433
73	4256	53259
74	4308	53140
75	4379	53249
76	4439	53216
77	4491	53092
78	4543	52973
79	4595	52849
80	4646	52716
81	4703	52652
82	4758	52576
83	4807	52423
84	4875	52478
85	4925	52345
86	4975	52216
87	5031	52147
88	5089	52091
89	5139	51961
90	5195	51894
91	5251	51831
92	5305	51746
93	5360	51668
94	5417	51607
95	5478	51591
96	5535	51530
97	5584	51403
98	5640	51334
99	5695	51263
100	5753	51209
101	5812	51170
102	5869	51116
103	5922	51021
104	5975	50931
105	6028	50840
106	6081	50753
107	6135	50671
108	6185	50563
109	6238	50471
110	6296	50428
111	6353	50371
112	6407	50297
113	6461	50220
114	6515	50142
115	6567	50052
116	6623	49987
117	6674	49892
118	6731	49832
119	6782	49741
120	6836	49661
121	6891	49596
122	6941	49491
123	6996	49428
124	7051	49357
125	7107	49301
126	7165	49257
127	7218	49175
128	7276	49128
129	7336	49095
130	7393	49047
131	7448	48979
132	7502	48909
133	7557	48843
134	7612	48777
135	7667	48711
136	7723	48655
137	7779	48595
138	7835	48532
139	7891	48477
140	7950	48435
141	8001	48346
142	8059	48302
143	8113	48232
144	8166	48151
145	8223	48104
146	8273	48006
147	8330	47959
148	8385	47894
