iter	RMSE
0	1294.241051
1	1255.864254
2	1219.799413
3	1184.469218
4	1150.377648
5	1117.352674
6	1087.441884
7	1058.739067
8	1031.598539
9	1005.548844
10	980.8083423
11	957.5110884
12	935.0635287
13	913.4324844
14	893.0942709
15	874.0299893
16	855.0577007
17	837.4392036
18	821.970906
19	806.8560621
20	793.3909362
21	780.2134927
22	768.0142272
23	756.2796225
24	744.7140097
25	733.697468
26	722.8398739
27	713.2471609
28	704.184743
29	695.97195
30	688.2916299
31	681.2625382
32	673.789879
33	666.6876739
34	660.4580705
35	655.1690099
36	649.4661933
37	644.4079222
38	639.7061061
39	634.9200098
40	630.5796489
41	626.4915187
42	622.5805825
43	618.8551697
44	615.4322811
45	612.5808142
46	609.5613645
47	606.6506501
48	604.0041642
49	601.3963111
50	599.1425619
51	596.9202546
52	594.8945577
53	592.9886627
54	591.1408512
55	589.4187646
56	587.8444038
57	586.3517794
58	584.9511149
59	583.469503
60	582.2246064
61	580.968526
62	579.878547
63	578.9272255
64	577.9198403
65	576.9164998
66	576.0702753
67	575.1328918
68	574.3879052
69	573.7496124
70	573.0356787
71	572.4057182
72	571.7737802
73	571.2333117
74	570.6785323
75	570.0679766
76	569.5898961
77	569.0645498
78	568.5920291
79	568.0975429
80	567.7278055
81	567.2656882
82	566.802467
83	566.361429
84	566.0674186
85	565.7213356
86	565.3732382
87	565.0181532
88	564.6837903
89	564.4165991
90	564.1350411
91	563.8085776
92	563.579244
93	563.3379493
94	563.0819431
95	562.8072746
96	562.4372643
97	562.1827188
98	561.9567791
99	561.7377863
100	561.5861247
101	561.3837174
102	561.2302083
103	561.0535188
104	560.7940131
105	560.6509228
106	560.4607183
107	560.3188156
108	560.217212
109	560.0897077
110	559.9548783
111	559.8500588
112	559.7417706
113	559.6483998
114	559.5432537
115	559.3173587
116	559.1586173
117	559.1458011
118	558.9729369
119	558.840839
120	558.7690394
121	558.652214
122	558.5723249
123	558.4336414
124	558.3154018
125	558.1890269
126	558.0876364
127	557.9498491
128	557.8589063
129	557.8488303
130	557.7827604
131	557.5974962
132	557.5409044
133	557.444957
134	557.1958399
135	557.158361
136	557.0637193
137	557.0144254
138	556.9705294
139	556.831899
140	556.7223228
141	556.6007281
142	556.4892145
143	556.3759322
144	556.3337723
145	556.260761
146	556.1614005
147	556.1430191
148	556.0454694
149	556.0368122
150	555.953886
151	555.881707
152	555.7298821
153	555.6764318
154	555.6242858
155	555.6161668
156	555.4996954
157	555.4862224
158	555.3632378
159	555.2925379
160	555.2833038
161	555.2440729
162	555.2184781
163	555.138824
164	555.1042018
165	554.9461278
166	554.9349678
167	554.8494479
168	554.8423225
169	554.8103406
170	554.7583809
171	554.677141
172	554.4902631
173	554.4425069
174	554.3248414
175	554.2498355
176	554.1257549
177	554.1158559
178	554.0200081
179	553.9825582
180	553.9167454
181	553.8758444
182	553.7340834
183	553.6334566
184	553.6204138
185	553.5734483
186	553.5056121
