iter	Passed	Remaining
0	5	4746
1	10	4640
2	17	5109
3	31	7013
4	34	6139
5	37	5520
6	40	5124
7	44	4910
8	49	4793
9	52	4620
10	56	4473
11	60	4363
12	63	4258
13	66	4149
14	70	4063
15	73	3976
16	76	3899
17	79	3836
18	82	3762
19	85	3714
20	89	3659
21	92	3637
22	96	3607
23	100	3613
24	103	3559
25	106	3514
26	109	3472
27	112	3432
28	114	3387
29	117	3350
30	120	3309
31	122	3273
32	125	3244
33	128	3214
34	131	3192
35	134	3173
36	137	3157
37	140	3133
38	143	3113
39	146	3089
40	149	3066
41	151	3045
42	154	3025
43	157	3009
44	160	2991
45	163	2971
46	165	2954
47	168	2936
48	171	2918
49	174	2906
50	177	2891
51	179	2877
52	182	2862
53	185	2849
54	188	2836
55	191	2832
56	194	2818
57	196	2804
58	200	2798
59	202	2785
60	205	2777
61	208	2766
62	211	2755
63	213	2740
64	216	2728
65	220	2726
66	224	2739
67	227	2731
68	230	2722
69	233	2713
70	236	2703
71	239	2699
72	242	2689
73	244	2678
74	247	2668
75	250	2661
76	253	2653
77	256	2646
78	258	2638
79	261	2631
80	264	2622
81	267	2615
82	270	2608
83	272	2599
84	275	2589
85	278	2581
86	281	2575
87	283	2567
88	286	2562
89	289	2554
90	292	2546
91	294	2538
92	297	2531
93	300	2523
94	303	2519
95	306	2512
96	308	2506
97	311	2499
98	314	2493
99	317	2486
100	319	2480
101	322	2473
102	325	2465
103	327	2459
104	330	2454
105	333	2447
106	336	2441
107	338	2435
108	341	2429
109	344	2424
110	347	2419
111	350	2415
112	353	2410
113	355	2403
114	358	2397
115	361	2391
116	363	2384
117	366	2377
118	368	2371
119	371	2365
120	374	2360
121	376	2354
122	379	2348
123	382	2343
124	385	2337
125	387	2333
126	390	2328
127	393	2323
128	396	2319
129	398	2313
130	401	2308
131	404	2303
132	407	2298
133	409	2293
134	412	2288
135	415	2284
136	418	2279
137	420	2274
138	422	2263
139	424	2258
140	427	2253
141	430	2250
142	433	2244
143	435	2239
144	438	2235
145	441	2229
146	443	2225
147	446	2221
148	449	2217
149	452	2212
150	454	2207
151	457	2202
152	460	2198
153	463	2195
154	465	2191
155	468	2186
156	471	2181
157	473	2176
158	476	2172
159	479	2168
160	481	2164
161	484	2159
162	487	2154
163	489	2150
164	492	2145
165	495	2142
166	497	2137
167	500	2134
168	503	2130
169	506	2126
170	508	2122
171	511	2117
172	514	2113
173	517	2110
174	520	2108
175	523	2106
176	526	2102
177	529	2099
178	531	2094
179	534	2090
180	537	2086
181	540	2082
182	542	2079
183	545	2076
184	548	2072
185	551	2068
186	554	2066
187	557	2063
188	560	2060
189	562	2054
190	565	2050
191	567	2046
192	569	2039
193	571	2034
194	574	2030
195	577	2027
196	580	2024
197	583	2021
198	585	2017
199	588	2014
200	591	2011
201	594	2008
202	596	2000
203	598	1996
204	601	1992
205	604	1990
206	607	1986
207	610	1984
208	613	1980
209	615	1977
210	618	1973
211	621	1970
212	624	1968
213	628	1966
214	630	1963
215	633	1960
216	636	1957
217	639	1954
218	642	1952
219	645	1949
220	648	1945
221	651	1942
222	653	1938
223	657	1936
224	659	1933
225	662	1929
226	665	1927
227	668	1923
228	671	1920
229	674	1918
230	677	1914
231	678	1907
232	681	1904
233	684	1900
234	686	1896
235	690	1894
236	693	1891
237	696	1889
238	698	1885
239	701	1882
240	704	1880
241	707	1877
242	710	1874
243	713	1871
244	716	1868
245	719	1865
246	722	1863
247	725	1859
248	727	1856
249	730	1852
250	733	1848
251	735	1845
252	739	1843
253	742	1841
254	744	1837
255	747	1834
256	750	1831
257	754	1829
258	756	1826
259	759	1823
260	762	1819
261	765	1816
262	767	1813
263	771	1811
264	774	1808
265	776	1804
266	779	1801
267	782	1797
268	785	1794
269	787	1791
270	790	1788
271	793	1784
272	796	1781
273	798	1778
274	801	1774
275	804	1771
276	806	1767
277	809	1764
278	812	1761
279	815	1758
280	818	1755
281	820	1751
282	823	1748
283	825	1744
284	828	1741
285	831	1738
286	834	1735
287	836	1731
288	839	1728
289	842	1725
290	845	1722
