iter	Passed	Remaining
0	44	44458
1	69	34658
2	94	31240
3	125	31196
4	150	29987
5	179	29720
6	204	28973
7	230	28641
8	256	28238
9	287	28508
10	312	28106
11	334	27573
12	357	27108
13	388	27379
14	413	27128
15	436	26816
16	455	26339
17	478	26077
18	500	25863
19	525	25770
20	549	25614
21	572	25433
22	595	25293
23	619	25179
24	643	25106
25	668	25059
26	695	25059
27	719	24968
28	742	24869
29	767	24821
30	790	24716
31	813	24612
32	838	24556
33	863	24526
34	891	24578
35	913	24461
36	931	24239
37	953	24131
38	976	24049
39	998	23965
40	1020	23870
41	1046	23874
42	1072	23865
43	1098	23861
44	1122	23831
45	1147	23806
46	1173	23798
47	1200	23811
48	1227	23815
49	1251	23783
50	1277	23770
51	1302	23739
52	1325	23685
53	1348	23622
54	1373	23607
55	1398	23574
56	1423	23549
57	1449	23536
58	1472	23489
59	1497	23453
60	1519	23394
61	1546	23392
62	1568	23332
63	1595	23336
64	1624	23363
65	1662	23533
66	1686	23488
67	1713	23485
68	1735	23421
69	1765	23457
70	1801	23577
71	1827	23554
72	1854	23543
73	1877	23496
74	1902	23468
75	1928	23446
76	1957	23467
77	1983	23440
78	2014	23486
79	2042	23489
80	2069	23478
81	2097	23486
82	2128	23520
83	2156	23518
84	2205	23739
85	2227	23674
86	2251	23629
87	2274	23570
88	2296	23510
89	2320	23458
90	2346	23436
91	2375	23440
92	2410	23507
93	2439	23514
94	2468	23519
95	2512	23659
96	2538	23633
97	2567	23629
98	2597	23642
99	2630	23677
100	2658	23667
101	2683	23628
102	2708	23587
103	2733	23549
104	2756	23494
105	2782	23466
106	2807	23430
107	2830	23377
108	2855	23340
109	2878	23289
110	2902	23247
111	2925	23198
112	2949	23154
113	2971	23096
114	2996	23057
115	3020	23019
116	3045	22982
117	3068	22935
118	3094	22911
119	3117	22858
120	3139	22804
121	3160	22747
122	3182	22692
123	3204	22636
124	3226	22584
125	3248	22530
126	3270	22478
127	3298	22473
128	3322	22435
129	3349	22417
130	3377	22402
131	3406	22402
132	3433	22384
133	3463	22386
134	3490	22366
135	3520	22363
136	3551	22369
137	3582	22374
138	3606	22342
139	3639	22359
140	3665	22329
141	3699	22356
142	3723	22314
143	3745	22266
144	3767	22215
145	3789	22164
146	3811	22119
147	3839	22101
148	3869	22101
149	3893	22065
150	3925	22071
151	3954	22062
152	3979	22027
153	4003	21994
154	4037	22010
155	4071	22029
156	4099	22014
157	4129	22007
158	4162	22017
159	4185	21972
160	4208	21929
161	4234	21906
162	4266	21908
163	4288	21860
164	4313	21827
165	4338	21795
166	4367	21784
167	4395	21767
168	4420	21736
169	4444	21701
170	4471	21679
171	4496	21647
172	4520	21610
173	4547	21585
174	4575	21571
175	4601	21541
176	4627	21517
177	4660	21522
178	4691	21519
179	4713	21470
180	4737	21434
181	4763	21407
182	4785	21365
183	4807	21318
184	4828	21272
185	4858	21264
186	4889	21256
187	4916	21235
188	4947	21230
189	4981	21235
190	5015	21245
191	5046	21238
192	5072	21211
193	5094	21167
194	5117	21127
195	5130	21046
196	5144	20970
197	5166	20928
198	5190	20890
199	5211	20846
200	5236	20817
201	5262	20790
202	5289	20766
203	5317	20746
204	5343	20722
205	5368	20690
206	5395	20671
207	5420	20639
208	5442	20598
209	5457	20529
210	5480	20495
211	5499	20440
212	5521	20402
213	5546	20371
214	5571	20342
215	5589	20287
216	5613	20254
217	5643	20243
218	5665	20203
219	5686	20160
220	5708	20122
221	5731	20086
222	5762	20079
223	5790	20058
224	5813	20024
225	5831	19971
226	5853	19933
227	5875	19893
228	5892	19839
229	5913	19798
230	5935	19758
231	5962	19736
232	5986	19705
233	6004	19655
234	6031	19633
235	6054	19600
236	6083	19586
237	6113	19573
238	6133	19530
239	6156	19494
240	6180	19465
241	6205	19437
242	6228	19401
243	6242	19342
244	6274	19334
245	6301	19313
246	6327	19288
247	6356	19273
248	6380	19244
249	6403	19211
250	6429	19185
251	6454	19159
252	6472	19110
253	6495	19078
254	6520	19049
255	6536	18996
256	6561	18968
257	6587	18944
258	6614	18923
259	6640	18898
260	6657	18850
261	6687	18836
262	6709	18800
263	6742	18796
264	6770	18778
265	6801	18767
266	6827	18743
267	6848	18706
268	6870	18669
269	6891	18633
270	6912	18594
271	6938	18570
272	6956	18526
273	6982	18501
274	7008	18476
275	7032	18446
276	7050	18403
277	7076	18378
278	7101	18351
279	7132	18341
280	7157	18314
281	7185	18294
282	7214	18278
283	7236	18243
284	7259	18213
285	7281	18179
286	7296	18127
287	7324	18108
288	7345	18072
289	7375	18058
290	7405	18041
291	7428	18012
292	7455	17990
293	7479	17960
294	7505	17936
295	7532	17914
296	7557	17889
297	7589	17878
298	7615	17853
299	7636	17818
300	7660	17788
301	7679	17748
302	7704	17723
303	7732	17702
304	7756	17673
305	7785	17657
306	7810	17631
307	7832	17598
308	7854	17563
309	7876	17530
310	7898	17497
311	7920	17464
312	7942	17433
313	7963	17399
314	7986	17366
315	8008	17334
316	8030	17302
317	8056	17277
318	8075	17239
319	8098	17210
320	8126	17189
321	8154	17170
322	8183	17152
323	8215	17141
324	8240	17114
325	8267	17092
326	8289	17060
327	8329	17064
328	8351	17032
329	8376	17006
330	8401	16981
331	8428	16958
332	8453	16932
333	8472	16893
334	8491	16857
335	8518	16834
336	8549	16820
337	8575	16795
338	8602	16773
339	8638	16768
340	8665	16746
341	8689	16718
342	8711	16687
343	8741	16669
344	8769	16649
345	8799	16633
346	8829	16616
347	8856	16593
348	8885	16573
349	8918	16562
350	8946	16541
351	8977	16526
352	9007	16509
353	9025	16470
354	9055	16452
355	9080	16426
356	9106	16402
357	9131	16374
358	9166	16366
359	9193	16344
360	9227	16332
361	9258	16317
362	9282	16288
363	9303	16256
364	9322	16217
365	9338	16176
366	9360	16144
367	9381	16112
368	9403	16080
369	9425	16048
370	9446	16016
371	9471	15989
372	9498	15967
373	9520	15935
374	9536	15893
375	9550	15849
376	9592	15851
377	9615	15821
378	9636	15789
379	9659	15759
380	9681	15729
381	9707	15704
382	9736	15685
383	9763	15662
384	9790	15638
385	9817	15616
386	9838	15583
387	9860	15552
388	9882	15522
389	9906	15494
390	9930	15467
391	9952	15436
392	9984	15422
393	10013	15400
394	10037	15373
395	10065	15353
396	10094	15333
397	10113	15297
398	10135	15266
399	10157	15236
400	10180	15206
401	10202	15177
402	10226	15150
403	10258	15133
404	10282	15106
405	10305	15076
406	10326	15046
407	10350	15018
408	10372	14987
409	10386	14946
410	10408	14916
411	10428	14883
412	10450	14853
413	10485	14842
414	10520	14829
415	10552	14814
416	10582	14795
417	10616	14781
418	10648	14765
419	10673	14739
420	10698	14714
421	10724	14688
422	10750	14664
423	10772	14634
424	10796	14607
425	10812	14568
426	10835	14540
427	10860	14514
428	10877	14477
429	10898	14447
430	10932	14433
431	10958	14408
432	10978	14376
433	11004	14351
434	11031	14327
435	11065	14313
436	11085	14282
437	11106	14251
438	11142	14238
439	11167	14213
440	11186	14180
441	11216	14160
442	11243	14136
443	11264	14106
444	11290	14081
445	11312	14052
446	11334	14022
447	11356	13993
448	11378	13962
