iter	RMSE
0	9.725971418
1	9.267823693
2	8.833002529
3	8.420723728
4	8.030270475
5	7.661132424
6	7.310905465
7	6.981507828
8	6.669738205
9	6.37469297
10	6.096505036
11	5.834747926
12	5.585706861
13	5.352353106
14	5.130051921
15	4.920769884
16	4.726521156
17	4.543640901
18	4.368518524
19	4.206108734
20	4.051122942
21	3.908927576
22	3.772563871
23	3.64569296
24	3.52627219
25	3.41474916
26	3.311774709
27	3.214495773
28	3.123543407
29	3.039452276
30	2.960418951
31	2.888547354
32	2.820953153
33	2.757386642
34	2.699311068
35	2.644937629
36	2.594504496
37	2.547843926
38	2.505038635
39	2.464895666
40	2.428078566
41	2.394808126
42	2.362944187
43	2.334307078
44	2.307562852
45	2.282953894
46	2.259943908
47	2.238861053
48	2.21911211
49	2.201905283
50	2.185753387
51	2.170998073
52	2.157072277
53	2.144668524
54	2.133611824
55	2.123152435
56	2.113046202
57	2.103490611
58	2.095104135
59	2.087131687
60	2.080124764
61	2.073339518
62	2.067140048
63	2.061782296
64	2.056823777
65	2.051944075
66	2.047607896
67	2.043381912
68	2.039549726
69	2.035783383
70	2.032271911
71	2.029157386
72	2.026168525
73	2.023174782
74	2.020692675
75	2.018536298
76	2.016229357
77	2.014173344
78	2.012033078
79	2.010308799
80	2.008252493
81	2.00679115
82	2.005165223
83	2.003611265
84	2.002116996
85	2.001018654
86	1.999605382
87	1.998432993
88	1.997401622
89	1.996283545
90	1.995264432
91	1.994156168
92	1.992955427
93	1.992146214
94	1.991370971
95	1.990289441
96	1.989577799
97	1.988660658
98	1.987529191
99	1.986907213
100	1.986064809
101	1.98502484
102	1.984371732
103	1.983365856
104	1.982746988
105	1.981952639
106	1.981380176
107	1.980660844
108	1.979880831
109	1.97936283
110	1.978683819
111	1.977953836
112	1.977407262
113	1.976721923
114	1.976049163
115	1.975608712
116	1.975065922
117	1.974521482
118	1.974204613
119	1.973681573
120	1.973369553
121	1.972851685
122	1.972319953
123	1.97202582
124	1.971705886
125	1.971265899
126	1.970759715
