iter	RMSE
0	3.058054799
1	2.956228175
2	2.864041928
3	2.781791706
4	2.70790296
5	2.640135462
6	2.579894319
7	2.524438093
8	2.476308242
9	2.431822249
10	2.393001107
11	2.356883266
12	2.325521582
13	2.297710681
14	2.271621974
15	2.247152002
16	2.224991704
17	2.204905832
18	2.18738762
19	2.171337579
20	2.155843483
21	2.143380154
22	2.130340532
23	2.118728493
24	2.108481753
25	2.099275448
26	2.090549942
27	2.082907312
28	2.075553814
29	2.068953678
30	2.063049152
31	2.057304325
32	2.052735949
33	2.047801863
34	2.043271421
35	2.038750364
36	2.034575245
37	2.0310581
38	2.027064072
39	2.023907286
40	2.020532442
41	2.017985349
42	2.015405414
43	2.013060097
44	2.010715369
45	2.008692095
46	2.006227953
47	2.004218539
48	2.002141654
49	2.000102272
50	1.998296069
51	1.996723787
52	1.995077019
53	1.993615075
54	1.991718256
55	1.990226986
56	1.989327028
57	1.987673265
58	1.986546374
59	1.985609035
60	1.984810695
61	1.983497235
62	1.982538994
63	1.981924958
64	1.981404723
65	1.980101848
66	1.979230393
67	1.977806866
68	1.97717719
69	1.975909053
70	1.974926176
71	1.974063354
72	1.973046348
73	1.972057016
74	1.9710346
75	1.970327935
76	1.969681423
77	1.968604453
78	1.968096905
79	1.967671822
80	1.966910035
81	1.966148501
82	1.96575907
83	1.965235762
84	1.964708803
85	1.964193445
86	1.96361319
87	1.963046817
88	1.962560566
89	1.962111105
90	1.961669561
91	1.961171978
92	1.960855758
93	1.95999961
94	1.959785706
95	1.959638105
96	1.959042528
97	1.958661479
98	1.958250197
99	1.957956293
100	1.957435743
101	1.957174866
102	1.956705111
103	1.956481263
104	1.955830614
105	1.955481787
106	1.95517071
107	1.954776556
108	1.954193284
109	1.953608845
110	1.953269442
111	1.953061754
112	1.952786827
113	1.95255977
114	1.952046173
115	1.951723284
116	1.951509688
117	1.951310982
118	1.950694962
119	1.95029062
120	1.949896144
121	1.949318157
122	1.948963518
123	1.948578507
124	1.948181029
125	1.947848979
126	1.947692062
127	1.947401656
128	1.947027849
129	1.946829682
130	1.946677112
131	1.946516668
132	1.946246907
133	1.946121648
134	1.945901789
135	1.945591507
136	1.945529467
137	1.945455681
138	1.945238294
139	1.944950847
140	1.944622789
141	1.944394225
142	1.944271729
143	1.944100887
144	1.943845095
145	1.94352417
146	1.943326311
147	1.942987773
148	1.942709534
149	1.94246987
150	1.942270461
151	1.942063484
152	1.941848826
153	1.941695643
154	1.941466956
155	1.941256451
156	1.940863359
157	1.940679
158	1.940328337
159	1.940182699
160	1.939969722
161	1.939800057
162	1.93959815
163	1.939343653
164	1.939159261
165	1.938910377
166	1.938808879
167	1.938688254
168	1.938535822
169	1.938334562
170	1.938165643
171	1.938038639
172	1.937719867
173	1.937433863
174	1.937265088
175	1.936925157
176	1.936774033
177	1.936385708
178	1.936256249
179	1.936011556
180	1.935890533
181	1.935627198
182	1.93550192
183	1.935139069
184	1.934926873
185	1.934741837
186	1.934509877
187	1.934336501
188	1.934150295
189	1.934013442
190	1.933870115
191	1.933636044
192	1.933481653
193	1.933348209
194	1.933269386
195	1.933031117
196	1.932800401
197	1.932688211
198	1.932639809
199	1.932384619
200	1.932145794
201	1.931892212
202	1.931860303
203	1.931829063
204	1.931593851
205	1.931527121
206	1.931309618
207	1.931213525
208	1.931047555
209	1.931036505
210	1.930871971
211	1.930721936
212	1.930585175
213	1.93043121
214	1.930219948
215	1.930072654
216	1.929913734
217	1.929734249
218	1.929617413
219	1.929517773
220	1.92933948
221	1.929167762
222	1.929072903
223	1.928979157
224	1.92874114
225	1.928630055
226	1.928568363
227	1.928560651
228	1.928343373
229	1.928207226
230	1.928097228
231	1.927983982
232	1.92769944
233	1.92749962
234	1.927342837
235	1.927137388
236	1.927030014
237	1.926923976
238	1.926885161
239	1.926630998
240	1.926506813
241	1.926369306
242	1.926208402
243	1.926037972
244	1.925834846
245	1.925682964
246	1.925523345
247	1.9254095
248	1.925163764
249	1.925066916
250	1.924938711
251	1.924659319
252	1.924385374
253	1.924223295
254	1.924023227
255	1.923929459
256	1.923862911
257	1.923711993
258	1.923470634
259	1.923455731
260	1.923281583
261	1.923228349
262	1.92314037
263	1.922953864
264	1.922837961
265	1.922814757
266	1.922656246
267	1.922569474
268	1.922328645
269	1.922126024
270	1.921803379
271	1.921690548
272	1.921682921
273	1.921520951
274	1.921362333
275	1.921301081
276	1.921102391
277	1.920970331
278	1.92078844
279	1.920640535
280	1.920440654
281	1.92027757
282	1.920153086
283	1.920098082
284	1.9198959
285	1.919848859
286	1.919652377
287	1.919445768
288	1.919394674
289	1.919177256
290	1.91900126
291	1.918795143
292	1.91866225
293	1.918453512
294	1.91830745
295	1.918201829
296	1.918088672
297	1.917943594
298	1.917902237
299	1.91773298
300	1.917597653
301	1.917414767
302	1.917260868
303	1.917194876
304	1.917090767
305	1.916988677
306	1.916893103
307	1.916799998
308	1.916594768
309	1.916340703
310	1.916190093
311	1.915933162
312	1.915834498
313	1.915732903
314	1.915651106
315	1.91561465
316	1.915506067
317	1.915379248
318	1.915300924
319	1.915176568
320	1.915006056
321	1.91485309
322	1.914685252
323	1.914524041
324	1.914369234
325	1.914351895
326	1.914245605
327	1.914147079
328	1.914070394
329	1.913957895
330	1.913916339
331	1.913803605
332	1.913611346
333	1.913604813
334	1.91342729
335	1.913322301
336	1.913258313
337	1.913183958
338	1.913027578
339	1.912976313
340	1.912791633
341	1.912637926
342	1.912547431
343	1.912419176
344	1.912409596
345	1.912158244
346	1.912018802
347	1.91185996
348	1.911721286
349	1.911620826
350	1.911482134
351	1.911466009
352	1.911372415
353	1.911237314
354	1.911114272
355	1.91108258
356	1.910970017
357	1.910886775
358	1.910644361
359	1.910549823
360	1.910387135
361	1.910359267
362	1.910209426
363	1.910144318
364	1.910098279
365	1.91002098
366	1.909873934
367	1.909759269
368	1.909706448
369	1.909610623
370	1.909468399
371	1.909414216
372	1.909355967
373	1.909293652
374	1.909132551
375	1.908956306
376	1.908849151
377	1.908781174
378	1.908660345
379	1.908578357
380	1.908329776
381	1.908261103
382	1.908074498
383	1.907947863
384	1.907899624
385	1.90779433
386	1.907554686
387	1.907408693
388	1.907309701
389	1.907239183
390	1.907221779
391	1.907088532
392	1.906929957
393	1.90687118
394	1.906708969
395	1.906540075
396	1.906416277
397	1.906352058
398	1.906239555
399	1.90613089
400	1.906002204
401	1.905985015
402	1.905964772
403	1.905790948
404	1.905652851
405	1.905515535
406	1.905364521
407	1.905139393
408	1.905032702
409	1.905018559
410	1.904837068
411	1.904617309
412	1.904539788
413	1.904470638
414	1.904339349
415	1.904298829
416	1.904154397
417	1.904045727
418	1.903863124
419	1.903807875
420	1.90371062
421	1.903665218
422	1.903561049
423	1.903444305
424	1.903308642
425	1.903154735
426	1.903127554
427	1.903041477
428	1.90287792
429	1.902779712
430	1.902580447
431	1.902436112
432	1.902320545
433	1.902294145
434	1.902267405
435	1.902057774
436	1.90196451
437	1.901872034
438	1.901700896
439	1.901605064
440	1.901520902
441	1.901417692
442	1.901293788
443	1.901135353
444	1.901059901
445	1.900987733
446	1.90087446
447	1.90076923
448	1.900682763
449	1.900592153
450	1.900499554
451	1.90030436
452	1.900268121
453	1.900139264
454	1.900039836
455	1.899928151
456	1.899821394
457	1.89976495
458	1.899690238
459	1.899671403
460	1.899655348
461	1.899532066
462	1.899452352
463	1.899331723
464	1.899169436
465	1.89905736
466	1.899004128
467	1.898970417
468	1.89882087
469	1.898716605
470	1.898690041
471	1.898513792
472	1.898371702
473	1.898300454
474	1.898100606
475	1.897978984
476	1.897926005
477	1.89785088
478	1.897830721
479	1.897734239
480	1.897692725
481	1.897667283
482	1.897657913
483	1.897587036
484	1.897504967
485	1.897501276
486	1.897451465
487	1.89732821
488	1.897200687
489	1.897041513
490	1.896858179
491	1.896830566
492	1.896745909
493	1.896669316
494	1.896598686
495	1.896487025
496	1.896344215
497	1.896161723
498	1.896059302
499	1.895951418
500	1.895875588
501	1.895796175
502	1.895723238
503	1.895694188
504	1.895599473
505	1.895475189
506	1.895358117
507	1.895238707
508	1.895152954
509	1.895068165
510	1.89493685
511	1.894755758
512	1.894663044
513	1.894563158
514	1.894481698
515	1.894231722
516	1.894165895
517	1.894021772
518	1.893815326
519	1.893649777
520	1.8936125
521	1.893545057
522	1.893456268
523	1.893328997
524	1.893166992
525	1.893060538
526	1.89299114
527	1.89288496
528	1.892757821
529	1.892582784
530	1.892488654
531	1.892397993
532	1.892278738
533	1.892275207
534	1.892197749
535	1.892000845
536	1.891977604
537	1.891833315
538	1.891771505
539	1.891683943
540	1.891569429
541	1.891458554
542	1.891363855
543	1.891275647
544	1.89114008
545	1.891134153
546	1.891025761
547	1.8909515
548	1.890934801
549	1.890922092
550	1.890787525
551	1.890718443
552	1.890579358
553	1.890464948
554	1.890373449
555	1.890256688
556	1.890091854
557	1.889907846
558	1.889869355
559	1.889769215
560	1.889629662
561	1.889482284
562	1.889279221
563	1.889153608
564	1.889124057
565	1.889063928
566	1.888998148
567	1.888968709
568	1.888920442
569	1.888831436
570	1.88866545
571	1.888627846
572	1.888513375
573	1.888351927
574	1.888301419
575	1.888211869
576	1.887993772
577	1.887911572
578	1.887764117
579	1.887632807
580	1.887545396
581	1.887456782
582	1.887328877
583	1.887194854
584	1.887177779
585	1.887071443
586	1.886993772
587	1.886887712
588	1.886735721
589	1.886606511
590	1.886510312
591	1.886403824
592	1.886380801
593	1.886299102
594	1.886161063
595	1.886100382
596	1.886017242
597	1.885939128
598	1.885785746
599	1.885749914
600	1.885720996
601	1.885563081
602	1.885435563
603	1.885412242
