iter	Passed	Remaining
0	172	172374
1	190	95018
2	200	66668
3	209	52202
4	216	43044
5	223	37032
6	229	32559
7	236	29296
8	242	26656
9	247	24540
10	254	22877
11	260	21410
12	265	20174
13	271	19155
14	277	18240
15	284	17495
16	290	16780
17	296	16150
18	302	15623
19	308	15101
20	313	14637
21	320	14238
22	325	13836
23	331	13462
24	337	13163
25	343	12869
26	349	12600
27	355	12337
28	360	12078
29	367	11870
30	372	11645
31	377	11433
32	384	11268
33	390	11083
34	396	10921
35	402	10770
36	407	10615
37	414	10487
38	419	10341
39	425	10212
40	431	10103
41	437	9970
42	442	9858
43	449	9765
44	454	9647
45	460	9547
46	466	9464
47	471	9359
48	477	9262
49	483	9178
50	488	9088
51	493	9003
52	500	8943
53	505	8861
54	512	8805
55	517	8728
56	523	8654
57	529	8596
58	534	8531
59	540	8468
60	546	8411
61	551	8345
62	557	8286
63	563	8241
64	569	8189
65	574	8133
66	580	8085
67	586	8038
68	592	7998
69	598	7946
70	604	7903
71	610	7865
72	615	7822
73	621	7776
74	627	7737
75	632	7694
76	638	7648
77	643	7612
78	649	7572
79	654	7531
80	661	7502
81	666	7461
82	672	7427
83	679	7406
84	684	7370
85	690	7339
86	696	7304
87	701	7270
88	707	7241
89	712	7204
90	717	7170
91	724	7147
92	729	7119
93	735	7089
94	741	7068
95	747	7036
96	752	7008
97	759	6986
98	764	6956
99	770	6930
100	776	6910
101	782	6886
102	787	6858
103	793	6834
104	799	6811
105	804	6787
106	810	6762
107	815	6738
108	821	6716
109	826	6690
110	832	6666
111	839	6652
112	844	6629
113	849	6603
114	856	6590
115	862	6570
116	868	6552
117	873	6532
118	879	6510
119	885	6490
120	890	6468
121	895	6444
122	901	6430
123	907	6412
124	912	6390
125	919	6375
126	926	6371
127	932	6349
128	942	6360
129	948	6348
130	956	6341
131	963	6333
132	973	6343
133	979	6327
134	985	6316
135	991	6298
136	996	6278
137	1005	6278
138	1010	6260
139	1018	6253
140	1024	6240
141	1031	6230
142	1039	6227
143	1045	6216
144	1052	6206
145	1058	6188
146	1063	6173
147	1070	6164
148	1076	6146
149	1082	6132
150	1088	6121
151	1093	6103
152	1100	6092
153	1106	6077
154	1111	6060
155	1118	6051
156	1124	6037
157	1132	6033
158	1138	6019
159	1144	6006
160	1151	6002
161	1157	5989
162	1165	5984
163	1171	5973
164	1177	5959
165	1185	5955
166	1191	5941
167	1197	5931
168	1203	5917
169	1208	5900
170	1215	5894
171	1221	5881
172	1227	5866
173	1233	5853
174	1238	5839
175	1245	5831
176	1251	5817
177	1256	5803
178	1264	5797
179	1269	5784
180	1275	5771
181	1282	5762
182	1286	5745
183	1293	5734
184	1298	5719
185	1303	5706
186	1310	5696
187	1315	5681
188	1320	5668
189	1327	5658
190	1333	5646
191	1338	5632
192	1344	5622
193	1350	5609
194	1355	5597
195	1364	5597
196	1372	5594
197	1380	5589
198	1386	5580
199	1393	5573
200	1399	5561
201	1404	5549
202	1410	5538
203	1415	5524
204	1421	5512
205	1428	5504
206	1433	5492
207	1439	5482
208	1445	5470
209	1450	5458
210	1457	5451
211	1464	5444
212	1470	5433
213	1478	5428
214	1484	5419
215	1491	5412
216	1496	5401
217	1502	5389
218	1508	5381
219	1514	5370
220	1520	5359
221	1526	5350
222	1532	5339
223	1539	5334
224	1545	5324
225	1550	5311
226	1557	5304
227	1563	5294
228	1569	5284
229	1575	5275
230	1581	5263
231	1587	5255
232	1593	5244
233	1598	5232
234	1605	5226
235	1611	5217
236	1616	5205
237	1622	5196
238	1628	5184
239	1633	5172
240	1640	5165
241	1645	5153
242	1651	5145
243	1657	5135
244	1662	5123
245	1669	5116
246	1674	5105
247	1680	5095
248	1687	5089
249	1693	5080
250	1698	5069
251	1705	5062
252	1712	5055
253	1719	5049
254	1725	5041
255	1731	5031
256	1738	5024
257	1743	5015
258	1749	5005
259	1754	4994
260	1760	4985
261	1766	4974
262	1771	4963
263	1776	4954
264	1783	4945
265	1788	4936
266	1793	4924
267	1800	4917
268	1805	4907
269	1810	4895
270	1816	4885
271	1822	4876
272	1827	4866
273	1833	4858
274	1839	4848
275	1844	4838
276	1850	4830
277	1856	4820
278	1861	4810
279	1867	4802
280	1873	4792
281	1878	4783
282	1884	4773
283	1889	4763
284	1894	4752
285	1900	4743
286	1905	4733
287	1910	4723
288	1916	4713
289	1921	4705
290	1931	4704
291	1938	4701
292	1944	4692
293	1949	4681
294	1954	4671
295	1960	4663
296	1966	4653
297	1971	4644
298	1977	4637
299	1982	4626
300	1988	4617
301	1994	4610
302	2000	4601
303	2005	4592
304	2011	4583
305	2017	4574
306	2023	4566
307	2028	4557
308	2033	4547
309	2038	4536
310	2044	4529
311	2050	4520
312	2055	4511
313	2061	4504
314	2066	4493
315	2072	4485
316	2078	4478
317	2084	4469
318	2089	4460
319	2095	4452
320	2100	4443
321	2106	4434
322	2112	4428
323	2118	4419
324	2125	4413
325	2130	4405
326	2135	4395
327	2142	4388
328	2147	4380
329	2153	4371
330	2159	4364
331	2165	4356
332	2170	4348
333	2176	4340
334	2182	4332
335	2188	4325
336	2194	4318
337	2199	4308
338	2206	4302
339	2211	4293
340	2217	4285
341	2223	4278
342	2229	4271
343	2236	4264
344	2242	4256
345	2247	4249
346	2253	4241
347	2259	4233
348	2265	4225
349	2271	4217
350	2276	4209
351	2282	4201
352	2287	4193
353	2292	4183
354	2298	4175
355	2304	4168
356	2309	4159
357	2314	4151
358	2320	4143
359	2326	4136
360	2331	4126
361	2338	4121
362	2345	4115
363	2351	4108
364	2358	4103
365	2364	4095
366	2370	4088
367	2375	4080
368	2381	4072
369	2388	4066
370	2394	4058
371	2398	4049
372	2404	4042
373	2410	4034
374	2417	4028
375	2422	4020
376	2427	4011
377	2433	4004
378	2438	3996
379	2444	3988
380	2450	3981
381	2455	3972
382	2460	3964
383	2467	3957
384	2473	3950
385	2478	3942
386	2484	3936
387	2490	3928
388	2496	3920
389	2502	3914
390	2508	3907
391	2513	3898
392	2519	3891
393	2524	3883
394	2530	3875
395	2535	3867
396	2541	3859
397	2547	3852
398	2552	3845
399	2558	3838
400	2565	3831
401	2570	3824
402	2576	3816
403	2582	3810
404	2588	3803
405	2595	3796
406	2600	3789
407	2606	3781
408	2612	3774
409	2617	3767
410	2623	3759
411	2630	3754
412	2635	3745
413	2641	3738
414	2647	3732
415	2653	3725
416	2660	3719
417	2665	3711
418	2670	3703
419	2677	3697
420	2683	3690
421	2688	3682
422	2694	3675
423	2700	3668
424	2706	3661
425	2713	3656
426	2719	3649
427	2724	3641
428	2730	3634
429	2736	3626
430	2742	3620
431	2748	3613
432	2754	3607
433	2761	3601
434	2767	3594
435	2773	3587
436	2780	3581
437	2785	3573
438	2791	3567
439	2796	3559
440	2802	3552
441	2808	3545
442	2814	3538
443	2820	3531
444	2826	3525
445	2831	3517
446	2837	3510
447	2843	3503
448	2848	3495
449	2853	3487
450	2860	3481
451	2865	3474
452	2872	3468
453	2880	3464
454	2886	3457
455	2895	3453
456	2901	3447
457	2910	3444
458	2915	3436
459	2933	3443
460	2939	3437
461	2946	3431
462	2952	3424
463	2960	3419
464	2965	3412
465	2972	3406
466	2979	3400
467	2984	3392
468	2992	3388
469	2998	3381
470	3006	3376
471	3014	3371
472	3021	3365
473	3028	3360
474	3033	3353
475	3043	3350
476	3048	3342
477	3056	3337
478	3062	3330
479	3068	3324
480	3076	3319
481	3082	3312
482	3089	3306
483	3094	3299
484	3101	3293
485	3108	3287
486	3113	3279
487	3119	3272
488	3124	3265
489	3130	3258
490	3136	3251
491	3142	3244
492	3147	3236
493	3153	3230
494	3159	3223
495	3164	3215
496	3169	3207
497	3174	3200
498	3180	3192
499	3186	3186
500	3191	3178
501	3196	3171
502	3202	3164
503	3207	3157
504	3212	3148
505	3219	3142
506	3223	3134
507	3228	3127
508	3235	3120
509	3240	3113
510	3245	3105
511	3251	3099
512	3256	3091
513	3261	3084
514	3268	3077
515	3273	3070
516	3279	3064
517	3285	3057
518	3291	3050
519	3296	3043
520	3302	3036
521	3307	3029
522	3314	3022
523	3319	3015
524	3324	3008
525	3331	3002
526	3339	2996
527	3344	2989
528	3352	2984
529	3358	2978
530	3364	2971
531	3369	2963
532	3374	2956
533	3381	2950
534	3386	2943
535	3392	2936
536	3398	2930
537	3404	2923
538	3410	2916
539	3416	2910
540	3422	2903
541	3427	2896
542	3433	2889
543	3439	2882
544	3445	2876
545	3449	2868
546	3455	2862
547	3462	2856
548	3468	2849
549	3473	2842
550	3479	2835
551	3484	2828
552	3489	2820
553	3495	2814
554	3501	2807
555	3507	2801
556	3512	2793
557	3518	2786
558	3523	2779
559	3528	2772
560	3534	2765
561	3538	2758
562	3545	2751
563	3550	2745
564	3557	2738
565	3562	2731
566	3567	2724
567	3573	2717
568	3578	2710
569	3584	2703
570	3590	2697
571	3596	2690
572	3601	2684
573	3608	2677
574	3614	2671
575	3619	2664
576	3625	2657
577	3631	2651
578	3637	2645
579	3643	2638
580	3648	2631
581	3655	2625
582	3660	2618
583	3666	2611
584	3672	2605
585	3678	2598
586	3684	2592
587	3690	2585
588	3696	2579
589	3700	2571
590	3706	2564
591	3712	2558
592	3717	2551
593	3723	2544
594	3729	2538
595	3735	2531
596	3740	2524
597	3745	2517
598	3750	2510
599	3756	2504
600	3761	2497
601	3767	2490
602	3772	2483
603	3778	2477
604	3783	2470
605	3789	2464
606	3795	2457
607	3800	2450
608	3806	2444
609	3811	2437
610	3817	2430
611	3822	2423
612	3828	2416
613	3834	2410
614	3839	2403
615	3845	2397
616	3851	2390
617	3856	2383
618	3862	2377
619	3868	2370
620	3873	2364
621	3878	2357
622	3884	2350
623	3889	2343
624	3895	2337
625	3900	2330
626	3905	2323
627	3944	2336
628	3952	2331
629	3957	2324
630	3962	2317
631	3967	2310
632	3973	2303
633	3978	2296
634	3983	2289
635	3989	2283
636	3994	2276
637	4000	2269
638	4005	2262
639	4010	2256
640	4017	2249
641	4021	2242
642	4026	2235
643	4032	2229
644	4038	2222
645	4044	2216
646	4050	2209
647	4055	2202
648	4060	2196
649	4066	2189
650	4071	2182
651	4076	2175
652	4082	2169
653	4087	2162
654	4092	2155
655	4098	2149
656	4104	2142
657	4110	2136
658	4117	2130
659	4123	2123
660	4128	2117
661	4134	2110
662	4139	2103
663	4146	2098
664	4151	2091
665	4156	2084
666	4162	2078
667	4168	2071
668	4173	2065
669	4179	2058
670	4185	2052
671	4190	2045
672	4196	2039
673	4202	2032
674	4207	2025
675	4213	2019
676	4218	2012
677	4224	2006
678	4229	1999
679	4234	1992
680	4241	1986
681	4246	1980
682	4252	1973
683	4258	1967
684	4264	1960
685	4269	1954
686	4275	1947
687	4280	1941
688	4286	1934
689	4291	1928
690	4297	1921
691	4302	1914
692	4308	1908
693	4313	1902
694	4318	1895
695	4324	1888
696	4329	1882
697	4334	1875
698	4340	1869
699	4346	1862
700	4352	1856
701	4360	1851
702	4368	1845
703	4376	1839
704	4381	1833
705	4386	1826
706	4392	1820
707	4397	1813
708	4403	1807
709	4409	1801
710	4414	1794
711	4421	1788
712	4426	1781
713	4432	1775
714	4438	1769
715	4443	1762
716	4449	1756
717	4455	1749
718	4460	1743
719	4465	1736
720	4470	1730
721	4476	1723
722	4481	1716
723	4487	1710
724	4493	1704
725	4498	1697
726	4504	1691
727	4509	1685
728	4515	1678
729	4520	1672
730	4526	1665
731	4531	1659
732	4537	1652
733	4542	1646
734	4547	1639
735	4553	1633
736	4558	1626
737	4563	1620
738	4569	1613
739	4575	1607
740	4581	1601
741	4587	1595
742	4592	1588
743	4597	1581
744	4603	1575
745	4609	1569
746	4614	1562
747	4619	1556
748	4624	1549
749	4629	1543
750	4636	1537
751	4641	1530
752	4647	1524
753	4652	1518
754	4657	1511
755	4663	1505
756	4668	1498
757	4673	1492
758	4680	1486
759	4684	1479
760	4690	1473
761	4696	1466
762	4700	1460
763	4706	1453
764	4712	1447
765	4718	1441
766	4724	1435
767	4730	1428
768	4735	1422
769	4740	1415
770	4746	1409
771	4751	1403
772	4757	1397
773	4762	1390
774	4767	1384
775	4773	1377
776	4779	1371
777	4786	1365
778	4792	1359
779	4798	1353
780	4803	1346
781	4808	1340
782	4815	1334
783	4820	1327
784	4825	1321
785	4831	1315
786	4837	1309
787	4844	1303
788	4849	1296
789	4854	1290
790	4861	1284
791	4866	1278
792	4872	1271
793	4878	1265
794	4883	1259
795	4889	1253
796	4895	1247
797	4914	1244
798	4923	1238
799	4929	1232
800	4934	1225
801	4939	1219
802	4945	1213
803	4950	1206
804	4954	1200
805	4961	1194
806	4966	1187
807	4971	1181
808	4978	1175
809	4983	1169
810	4989	1162
811	4994	1156
812	4999	1149
813	5005	1143
814	5011	1137
815	5016	1131
816	5022	1125
817	5028	1118
818	5033	1112
819	5039	1106
820	5045	1100
821	5050	1093
822	5056	1087
823	5061	1081
824	5067	1074
825	5073	1068
826	5078	1062
827	5083	1055
828	5089	1049
829	5094	1043
830	5099	1037
831	5105	1030
832	5110	1024
833	5116	1018
834	5122	1012
835	5128	1005
836	5133	999
837	5139	993
838	5145	987
839	5149	980
840	5155	974
841	5160	968
842	5165	962
843	5171	955
844	5177	949
845	5182	943
846	5188	937
847	5195	931
