iter	MultiClass
0	1.902260526
1	1.681523895
2	1.528117579
3	1.411362228
4	1.317120398
5	1.240837438
6	1.177978062
7	1.124078633
8	1.07763648
9	1.037278472
10	1.003185084
11	0.9739177104
12	0.9481220967
13	0.9255901804
14	0.9052441948
15	0.8871987654
16	0.8709158392
17	0.8563573772
18	0.8437702413
19	0.8327175088
20	0.8224346436
21	0.8134979877
22	0.8053122884
23	0.7978826704
24	0.791600675
25	0.7856763895
26	0.7804616154
27	0.7752052269
28	0.7708247429
29	0.7666203411
30	0.7630472602
31	0.7599704266
32	0.7568345669
33	0.753944646
34	0.7516920141
35	0.7495782033
36	0.7477218618
37	0.7459666496
38	0.7445264713
39	0.7431130851
40	0.7418586125
41	0.7407624472
42	0.7398281999
43	0.738807747
44	0.7380114307
45	0.7373607788
46	0.7362337901
47	0.7348891888
48	0.7341402934
49	0.733582248
50	0.7331221229
51	0.7323862734
52	0.7315585937
53	0.7311923724
54	0.7307936961
55	0.7303076149
56	0.729856926
57	0.7294359347
58	0.7289061194
59	0.7285279272
60	0.7281745794
61	0.7278614068
62	0.7276103505
63	0.7272590127
64	0.7270771273
65	0.726797854
66	0.7265749492
67	0.7263532798
68	0.72565829
69	0.7253033506
70	0.7248932127
71	0.7246923796
72	0.7244728426
73	0.724409133
74	0.7241307827
75	0.7238297643
76	0.7236510428
77	0.7234905075
78	0.7232619974
79	0.722954669
80	0.7228424424
81	0.7225425903
82	0.7218990663
83	0.7217026193
84	0.7215613614
85	0.72142595
86	0.7211547335
87	0.7209759526
88	0.7206044218
89	0.7203555967
90	0.7201594977
91	0.719842034
92	0.7197042709
93	0.7195748935
94	0.7194273054
95	0.7190869461
96	0.7186270441
97	0.7183914054
98	0.7181948091
99	0.7175998208
100	0.7174297891
101	0.7172046577
102	0.7169838036
103	0.7168434139
104	0.7166689289
105	0.71642645
106	0.7162853478
107	0.715852224
108	0.7155726429
109	0.7154248271
110	0.7151807933
111	0.7150439378
112	0.7147905493
113	0.7146587778
114	0.7144747111
115	0.7143634134
116	0.7141620548
117	0.7140571039
118	0.7138542029
119	0.7136193374
120	0.7134997694
121	0.71336457
122	0.7132350368
123	0.7131239212
124	0.7129345788
125	0.7127994709
126	0.7126702255
127	0.7123303951
128	0.7122382337
129	0.7120693276
130	0.7119805486
131	0.7117705823
132	0.7116434528
133	0.7115192108
134	0.7113193383
135	0.711082243
136	0.7109726958
137	0.7108289577
138	0.7106680922
139	0.7104082216
140	0.7102936414
141	0.7102130475
142	0.7100203128
143	0.7098903866
144	0.7097897121
145	0.7096720079
146	0.7094751367
147	0.7093766213
148	0.7092142996
149	0.7090507415
150	0.708924494
151	0.7088265535
152	0.7087708833
153	0.7086524429
154	0.7085247983
155	0.7084349306
156	0.7083010368
157	0.7081939486
158	0.7081149878
159	0.7080232247
160	0.7078452995
161	0.7077242136
162	0.707597227
163	0.707458601
164	0.7073463418
165	0.7069933477
166	0.7068825794
167	0.7067495964
168	0.7066548038
169	0.7065518968
170	0.7064579326
171	0.7063644943
172	0.70625175
173	0.7061550395
174	0.7060974592
175	0.7060164923
176	0.7059185049
177	0.7058273966
178	0.7057285339
179	0.7056226099
180	0.7055293034
181	0.705405016
182	0.7053061291
183	0.7050052632
184	0.7048824582
185	0.7047980828
186	0.7046929969
187	0.7045308508
188	0.704482488
189	0.7043321957
190	0.7041971509
191	0.7041189394
192	0.7040147414
193	0.7039070528
194	0.7038227495
195	0.7037154098
196	0.7035474004
197	0.7034691221
198	0.7034135078
199	0.703347448
200	0.7031989627
201	0.7030425543
202	0.702922767
203	0.7028154333
204	0.7027346161
205	0.7025930931
206	0.7025174175
207	0.7023169037
208	0.7021921023
209	0.7020928393
