iter	Passed	Remaining
0	3	3507
1	6	3450
2	10	3433
3	13	3385
4	16	3350
5	20	3350
6	23	3366
7	27	3370
8	30	3385
9	34	3388
10	37	3388
11	41	3413
12	45	3421
13	48	3422
14	52	3419
15	55	3429
16	59	3429
17	62	3425
18	66	3421
19	69	3413
20	73	3426
21	77	3423
22	80	3418
23	84	3417
24	87	3411
25	90	3408
26	94	3401
27	97	3394
28	101	3389
29	104	3384
30	108	3378
31	111	3371
32	114	3365
33	118	3357
34	121	3352
35	125	3347
36	128	3342
37	131	3338
38	135	3334
39	139	3336
40	142	3332
41	145	3329
42	149	3327
43	152	3323
44	156	3319
45	159	3314
46	163	3311
47	166	3305
48	170	3303
49	173	3298
50	177	3294
51	180	3289
52	183	3286
53	187	3283
54	190	3279
55	194	3273
56	197	3267
57	200	3263
58	204	3259
59	207	3255
60	211	3252
61	214	3248
62	218	3244
63	221	3239
64	224	3234
65	228	3231
66	231	3228
67	235	3228
68	239	3225
69	242	3222
70	246	3219
71	249	3217
72	253	3215
73	256	3211
74	260	3208
75	263	3205
76	267	3203
77	270	3199
78	273	3194
79	277	3190
80	280	3186
81	284	3184
82	287	3181
83	291	3178
84	294	3173
85	298	3171
86	301	3167
87	305	3162
88	308	3159
89	311	3154
90	315	3149
91	318	3145
92	322	3141
93	325	3138
94	328	3133
95	332	3132
96	336	3128
97	339	3125
98	343	3122
99	346	3119
100	350	3116
101	353	3112
102	357	3109
103	360	3107
104	364	3103
105	367	3100
106	371	3097
107	374	3094
108	378	3090
109	381	3088
110	385	3084
111	388	3080
112	392	3077
113	395	3074
114	399	3070
115	402	3067
116	405	3063
117	409	3060
118	412	3056
119	416	3053
120	419	3049
121	423	3046
122	427	3044
123	430	3041
124	434	3038
125	437	3035
126	441	3032
127	444	3029
128	448	3024
129	451	3020
130	454	3016
131	458	3013
132	461	3010
133	465	3007
134	469	3005
135	472	3001
136	475	2997
137	479	2994
138	482	2990
139	486	2987
140	489	2984
141	493	2980
142	496	2977
143	500	2974
144	505	2980
145	510	2987
146	516	2994
147	521	3001
148	525	3003
149	529	3002
150	532	2993
151	535	2989
152	539	2989
153	543	2988
154	547	2986
155	551	2986
156	555	2985
157	559	2983
158	563	2981
159	567	2980
160	571	2979
161	575	2978
162	579	2976
163	583	2975
164	587	2974
165	591	2971
166	595	2969
167	599	2967
168	603	2966
169	607	2965
170	611	2964
171	615	2961
172	619	2960
173	623	2957
174	627	2956
175	630	2954
176	634	2952
177	638	2949
178	642	2947
179	646	2945
180	650	2943
181	654	2941
182	658	2940
183	662	2938
184	666	2936
185	670	2935
186	674	2933
187	678	2932
188	682	2930
189	686	2928
190	690	2925
191	694	2923
192	698	2920
193	702	2917
194	706	2915
195	710	2914
196	714	2912
197	718	2908
198	722	2907
199	726	2904
200	730	2902
201	734	2900
202	738	2897
203	741	2894
204	745	2891
205	749	2888
206	753	2887
207	757	2884
208	761	2880
209	765	2878
210	768	2875
211	772	2872
212	776	2868
213	780	2866
214	784	2863
215	788	2861
216	791	2855
217	795	2852
218	799	2850
219	803	2848
220	807	2845
221	811	2843
222	815	2840
223	819	2838
224	823	2834
225	826	2832
226	830	2829
227	834	2826
228	839	2824
229	843	2822
230	846	2819
231	850	2816
232	854	2813
233	858	2810
234	862	2807
235	866	2804
236	870	2801
237	873	2798
238	877	2794
239	881	2790
240	885	2787
241	889	2784
242	892	2781
243	896	2778
244	900	2774
245	904	2771
246	907	2768
247	913	2769
248	917	2765
249	920	2762
250	924	2759
251	928	2755
252	931	2751
253	935	2747
254	938	2743
255	942	2738
256	945	2734
257	949	2729
258	952	2725
259	955	2720
260	959	2715
261	962	2711
262	965	2706
263	969	2702
264	972	2697
265	976	2693
266	979	2689
267	983	2685
268	986	2680
269	990	2676
270	993	2672
271	997	2668
272	1000	2664
273	1004	2660
274	1007	2656
275	1011	2652
276	1014	2647
277	1018	2643
278	1021	2639
279	1025	2635
280	1028	2632
281	1032	2627
282	1035	2623
283	1038	2619
284	1042	2615
285	1046	2611
286	1049	2607
287	1053	2603
288	1056	2599
289	1060	2595
290	1063	2591
291	1067	2587
292	1070	2583
293	1074	2580
294	1077	2576
295	1081	2571
296	1084	2567
297	1088	2563
298	1091	2559
299	1095	2555
300	1098	2550
301	1101	2546
302	1105	2542
303	1108	2538
304	1112	2534
305	1115	2530
306	1119	2526
307	1122	2522
308	1126	2518
309	1129	2514
310	1133	2510
311	1136	2506
312	1140	2502
313	1143	2498
314	1146	2493
315	1150	2490
316	1153	2486
317	1157	2482
318	1160	2478
319	1164	2474
320	1168	2470
321	1171	2466
322	1175	2462
323	1178	2459
324	1182	2455
325	1185	2451
326	1189	2447
327	1192	2443
328	1196	2439
329	1199	2435
330	1203	2431
331	1206	2428
332	1210	2424
333	1213	2420
334	1217	2415
335	1220	2411
336	1223	2407
337	1227	2403
338	1229	2397
339	1232	2393
340	1236	2389
341	1239	2385
342	1241	2378
343	1245	2375
344	1248	2371
345	1252	2367
346	1256	2363
347	1259	2360
348	1263	2356
349	1266	2352
350	1270	2348
351	1273	2344
352	1277	2340
353	1280	2337
354	1284	2333
355	1287	2329
356	1291	2325
357	1294	2321
358	1298	2317
359	1301	2313
360	1305	2310
361	1308	2306
362	1311	2302
363	1315	2298
364	1319	2295
365	1322	2291
366	1326	2287
367	1329	2283
368	1332	2279
369	1336	2275
370	1340	2271
371	1343	2268
372	1346	2264
373	1350	2260
374	1353	2256
375	1357	2252
376	1360	2248
377	1364	2244
378	1367	2240
379	1371	2237
380	1374	2233
381	1377	2229
382	1381	2225
383	1384	2221
384	1388	2217
385	1391	2213
386	1395	2209
387	1398	2206
388	1402	2202
389	1405	2198
390	1408	2194
391	1412	2190
392	1415	2186
393	1419	2182
394	1422	2179
395	1426	2175
396	1429	2171
397	1433	2168
398	1436	2164
399	1440	2160
400	1443	2156
401	1447	2152
402	1450	2148
403	1453	2144
404	1457	2141
405	1460	2137
406	1464	2133
407	1467	2129
408	1471	2125
409	1474	2121
410	1477	2117
411	1481	2114
412	1484	2110
413	1488	2106
414	1491	2102
415	1495	2098
416	1498	2095
417	1501	2091
418	1505	2087
419	1508	2083
420	1512	2080
421	1515	2076
422	1519	2072
423	1522	2068
424	1526	2064
425	1529	2061
426	1533	2057
427	1536	2053
428	1540	2049
429	1543	2046
430	1547	2042
431	1550	2038
432	1553	2034
433	1557	2031
434	1560	2027
435	1564	2023
436	1567	2019
437	1571	2015
438	1574	2012
439	1578	2008
440	1581	2004
441	1584	2000
442	1588	1996
443	1591	1993
444	1595	1989
445	1598	1985
446	1602	1981
447	1605	1978
448	1608	1974
449	1612	1970
450	1616	1967
451	1619	1963
452	1622	1959
453	1626	1956
454	1629	1952
455	1633	1948
456	1636	1944
457	1640	1941
458	1644	1938
459	1647	1934
460	1651	1930
461	1654	1926
462	1658	1923
463	1661	1919
464	1665	1915
465	1668	1912
466	1672	1908
467	1675	1904
468	1679	1901
469	1682	1897
470	1686	1893
471	1689	1890
472	1693	1886
473	1696	1883
474	1700	1879
475	1703	1875
476	1707	1872
477	1710	1868
478	1714	1864
479	1717	1860
480	1721	1857
481	1724	1853
482	1728	1849
483	1731	1845
484	1734	1842
485	1738	1838
486	1741	1834
487	1745	1831
488	1748	1827
489	1752	1823
490	1755	1820
491	1759	1816
492	1762	1812
493	1765	1808
494	1769	1805
495	1772	1801
496	1776	1797
497	1779	1793
498	1783	1790
499	1786	1786
500	1790	1782
501	1793	1779
502	1796	1775
503	1800	1771
504	1803	1767
505	1806	1764
506	1810	1760
507	1814	1757
508	1817	1753
509	1821	1749
510	1824	1746
511	1828	1742
512	1831	1738
513	1834	1735
514	1838	1731
515	1841	1727
516	1845	1723
517	1848	1720
518	1852	1716
519	1855	1712
520	1858	1709
521	1862	1705
522	1865	1701
523	1869	1697
524	1872	1694
525	1876	1690
526	1879	1686
527	1882	1683
528	1886	1679
529	1889	1675
530	1893	1672
531	1896	1668
532	1900	1664
533	1903	1661
534	1907	1657
535	1910	1653
536	1913	1650
537	1917	1646
538	1920	1642
539	1924	1639
540	1927	1635
541	1930	1631
542	1934	1628
543	1937	1624
544	1941	1620
545	1944	1616
546	1947	1613
547	1951	1609
548	1954	1605
549	1958	1602
550	1961	1598
551	1965	1594
552	1968	1591
553	1972	1587
554	1975	1584
555	1978	1580
556	1982	1576
557	1985	1573
558	1989	1569
559	1992	1565
560	1996	1562
561	1999	1558
562	2003	1554
563	2006	1551
564	2010	1547
565	2013	1543
566	2017	1540
567	2020	1536
568	2023	1533
569	2027	1529
570	2030	1525
571	2034	1522
572	2037	1518
573	2041	1514
574	2044	1511
575	2048	1507
576	2051	1504
577	2055	1500
578	2058	1497
579	2062	1493
580	2065	1489
581	2069	1486
582	2072	1482
583	2076	1478
584	2079	1475
585	2083	1471
586	2086	1468
587	2089	1464
588	2093	1460
589	2096	1457
590	2100	1453
591	2104	1450
592	2107	1446
593	2110	1442
594	2114	1439
595	2117	1435
596	2121	1432
597	2124	1428
598	2128	1424
599	2131	1421
600	2135	1417
601	2138	1413
602	2142	1410
603	2145	1406
604	2149	1403
605	2152	1399
606	2156	1396
607	2159	1392
608	2163	1388
609	2166	1385
610	2170	1381
611	2173	1378
612	2177	1374
613	2180	1370
614	2183	1367
615	2187	1363
616	2190	1359
617	2193	1356
618	2197	1352
619	2200	1348
620	2204	1345
621	2207	1341
622	2211	1338
623	2214	1334
624	2218	1330
625	2221	1327
626	2225	1323
627	2228	1320
628	2232	1316
629	2235	1312
630	2239	1309
631	2242	1305
632	2245	1302
633	2249	1298
634	2252	1294
635	2256	1291
636	2259	1287
637	2262	1283
638	2266	1280
639	2269	1276
640	2273	1273
641	2276	1269
642	2280	1265
643	2283	1262
644	2286	1258
645	2290	1255
646	2293	1251
647	2297	1247
648	2300	1244
649	2303	1240
650	2307	1237
651	2310	1233
652	2314	1229
653	2317	1226
654	2321	1222
655	2324	1219
656	2328	1215
657	2331	1211
658	2334	1208
659	2338	1204
660	2341	1201
661	2345	1197
662	2348	1193
663	2352	1190
664	2355	1186
665	2358	1182
666	2362	1179
667	2365	1175
668	2368	1172
669	2372	1168
670	2375	1164
671	2379	1161
672	2382	1157
673	2386	1154
674	2390	1150
675	2393	1147
676	2396	1143
677	2400	1139
678	2403	1136
679	2407	1132
680	2410	1129
681	2414	1125
682	2417	1122
683	2421	1118
684	2424	1115
685	2428	1111
686	2431	1107
687	2435	1104
688	2438	1100
689	2441	1097
690	2445	1093
691	2448	1089
692	2452	1086
693	2455	1082
694	2459	1079
695	2462	1075
696	2465	1072
697	2469	1068
698	2472	1064
699	2476	1061
700	2479	1057
701	2483	1054
702	2486	1050
703	2490	1046
704	2493	1043
705	2497	1039
706	2500	1036
707	2503	1032
708	2507	1029
709	2510	1025
710	2514	1021
711	2517	1018
712	2520	1014
713	2524	1011
714	2527	1007
715	2531	1004
716	2534	1000
717	2538	996
718	2541	993
719	2545	989
720	2548	986
721	2552	982
722	2555	979
723	2558	975
724	2562	971
725	2565	968
726	2569	964
727	2572	961
728	2576	957
729	2579	954
730	2583	950
731	2587	947
732	2590	943
733	2594	940
734	2597	936
735	2600	932
736	2604	929
737	2607	925
738	2611	922
739	2614	918
740	2618	915
741	2621	911
742	2625	907
743	2628	904
744	2631	900
745	2635	897
746	2638	893
747	2642	890
748	2645	886
749	2649	883
750	2652	879
751	2655	875
752	2659	872
753	2662	868
754	2666	865
755	2669	861
756	2673	858
757	2676	854
758	2679	850
759	2683	847
760	2686	843
761	2690	840
762	2693	836
763	2696	833
764	2700	829
765	2703	825
766	2706	822
767	2710	818
768	2713	815
769	2717	811
770	2720	808
771	2724	804
772	2727	800
773	2731	797
774	2734	793
775	2737	790
776	2741	786
777	2744	783
778	2748	779
779	2751	776
780	2754	772
781	2758	768
782	2761	765
783	2765	761
784	2768	758
785	2772	754
786	2775	751
787	2778	747
788	2782	744
789	2785	740
790	2788	736
791	2792	733
792	2795	729
793	2798	726
794	2802	722
795	2805	719
796	2809	715
797	2812	711
798	2815	708
799	2819	704
800	2822	701
801	2826	697
802	2829	694
803	2832	690
804	2836	687
805	2839	683
806	2843	679
807	2846	676
808	2850	672
809	2853	669
810	2856	665
811	2860	662
812	2863	658
813	2867	655
814	2870	651
815	2873	648
816	2877	644
817	2880	640
818	2883	637
819	2887	633
820	2890	630
821	2894	626
822	2897	623
823	2901	619
824	2904	616
825	2907	612
826	2911	609
827	2914	605
828	2918	601
829	2921	598
830	2925	594
831	2929	591
832	2933	588
833	2936	584
834	2940	580
835	2943	577
836	2946	573
837	2949	570
838	2953	566
839	2956	563
840	2960	559
841	2963	556
842	2967	552
843	2970	549
844	2974	545
845	2977	541
846	2980	538
847	2984	534
848	2987	531
849	2991	527
850	2994	524
851	2998	520
852	3001	517
853	3005	513
854	3009	510
855	3012	506
856	3016	503
857	3019	499
858	3023	496
859	3026	492
860	3030	489
861	3033	485
862	3037	482
863	3040	478
864	3044	475
865	3047	471
866	3050	468
867	3054	464
868	3057	460
869	3061	457
870	3064	453
871	3068	450
872	3071	446
873	3075	443
874	3078	439
875	3081	436
876	3085	432
877	3088	429
878	3092	425
879	3095	422
880	3099	418
881	3102	415
882	3106	411
883	3109	408
884	3113	404
885	3116	401
886	3120	397
887	3123	393
888	3126	390
889	3130	386
890	3133	383
891	3137	379
892	3140	376
893	3144	372
894	3147	369
895	3151	365
896	3154	362
897	3158	358
898	3161	355
899	3165	351
900	3168	348
901	3171	344
902	3175	341
903	3178	337
904	3182	334
905	3185	330
906	3188	326
907	3192	323
908	3195	319
909	3199	316
910	3202	312
911	3206	309
912	3209	305
913	3212	302
914	3216	298
915	3219	295
916	3223	291
917	3226	288
918	3230	284
919	3233	281
920	3236	277
921	3240	274
922	3243	270
923	3247	267
924	3250	263
925	3254	260
926	3257	256
927	3261	253
928	3264	249
929	3268	245
930	3271	242
931	3274	238
932	3278	235
933	3281	231
934	3285	228
935	3288	224
936	3292	221
937	3295	217
938	3298	214
939	3302	210
940	3305	207
941	3309	203
942	3312	200
943	3316	196
944	3319	193
945	3323	189
946	3326	186
947	3329	182
948	3333	179
949	3336	175
950	3339	172
951	3343	168
952	3346	165
953	3350	161
954	3353	158
955	3356	154
956	3359	150
957	3363	147
958	3366	143
959	3369	140
960	3373	136
961	3376	133
962	3380	129
963	3383	126
964	3387	122
965	3390	119
966	3394	115
967	3397	112
968	3401	108
969	3404	105
970	3408	101
971	3411	98
972	3415	94
973	3418	91
974	3422	87
975	3425	84
976	3429	80
977	3432	77
978	3435	73
979	3439	70
980	3442	66
981	3446	63
982	3449	59
983	3453	56
984	3456	52
985	3459	49
986	3463	45
987	3466	42
988	3470	38
989	3473	35
990	3476	31
991	3480	28
992	3483	24
993	3487	21
994	3490	17
995	3494	14
996	3497	10
997	3501	7
998	3504	3
999	3507	0
